"","t","do"
"1",2025-05-08 09:15:00,7.5
"2",2025-05-08 09:30:00,7.5
"3",2025-05-08 09:45:00,7.6
"4",2025-05-08 10:00:00,7.6
"5",2025-05-08 10:15:00,7.7
"6",2025-05-08 10:30:00,7.8
"7",2025-05-08 10:45:00,7.9
"8",2025-05-08 11:00:00,8
"9",2025-05-08 11:15:00,8.1
"10",2025-05-08 11:30:00,8.3
"11",2025-05-08 11:45:00,8.4
"12",2025-05-08 12:00:00,8.5
"13",2025-05-08 12:15:00,8.5
"14",2025-05-08 12:30:00,8.7
"15",2025-05-08 12:45:00,8.8
"16",2025-05-08 13:00:00,9
"17",2025-05-08 13:15:00,9
"18",2025-05-08 13:30:00,9.2
"19",2025-05-08 13:45:00,9.1
"20",2025-05-08 14:00:00,9.4
"21",2025-05-08 14:15:00,9.4
"22",2025-05-08 14:30:00,9.5
"23",2025-05-08 14:45:00,9.5
"24",2025-05-08 15:00:00,9.8
"25",2025-05-08 15:15:00,9.7
"26",2025-05-08 15:30:00,9.6
"27",2025-05-08 15:45:00,9.5
"28",2025-05-08 16:00:00,9.9
"29",2025-05-08 16:15:00,9.9
"30",2025-05-08 16:30:00,9.8
"31",2025-05-08 16:45:00,9.8
"32",2025-05-08 17:00:00,8.8
"33",2025-05-08 17:15:00,8
"34",2025-05-08 17:30:00,8.5
"35",2025-05-08 17:45:00,8
"36",2025-05-08 18:00:00,8.8
"37",2025-05-08 18:15:00,10.5
"38",2025-05-08 18:30:00,10.2
"39",2025-05-08 18:45:00,10.8
"40",2025-05-08 19:00:00,10.5
"41",2025-05-08 19:15:00,10.4
"42",2025-05-08 19:30:00,10.3
"43",2025-05-08 19:45:00,10.3
"44",2025-05-08 20:00:00,10.4
"45",2025-05-08 20:15:00,10.3
"46",2025-05-08 20:30:00,10.3
"47",2025-05-08 20:45:00,10.2
"48",2025-05-08 21:00:00,10.1
"49",2025-05-08 21:15:00,10
"50",2025-05-08 21:30:00,9.8
"51",2025-05-08 21:45:00,9.6
"52",2025-05-08 22:00:00,9.3
"53",2025-05-08 22:15:00,9.1
"54",2025-05-08 22:30:00,8.9
"55",2025-05-08 22:45:00,8.7
"56",2025-05-08 23:00:00,8.5
"57",2025-05-08 23:15:00,8.4
"58",2025-05-08 23:30:00,8.3
"59",2025-05-08 23:45:00,8.2
"60",2025-05-09 00:00:00,8.2
"61",2025-05-09 00:15:00,8.4
"62",2025-05-09 00:30:00,8.4
"63",2025-05-09 00:45:00,8.4
"64",2025-05-09 01:00:00,8.5
"65",2025-05-09 01:15:00,8.4
"66",2025-05-09 01:30:00,8.4
"67",2025-05-09 01:45:00,8.4
"68",2025-05-09 02:00:00,8.4
"69",2025-05-09 02:15:00,8.4
"70",2025-05-09 02:30:00,8.3
"71",2025-05-09 02:45:00,8.2
"72",2025-05-09 03:00:00,8.1
"73",2025-05-09 03:15:00,7.9
"74",2025-05-09 03:30:00,8
"75",2025-05-09 03:45:00,8.2
"76",2025-05-09 04:00:00,8
"77",2025-05-09 04:15:00,8
"78",2025-05-09 04:30:00,7.8
"79",2025-05-09 04:45:00,7.7
"80",2025-05-09 05:00:00,7.8
"81",2025-05-09 05:15:00,8
"82",2025-05-09 05:30:00,8
"83",2025-05-09 05:45:00,8
"84",2025-05-09 06:00:00,7.9
"85",2025-05-09 06:15:00,8
"86",2025-05-09 06:30:00,8
"87",2025-05-09 06:45:00,7.8
"88",2025-05-09 07:00:00,7.6
"89",2025-05-09 07:15:00,7.8
"90",2025-05-09 07:30:00,7.7
"91",2025-05-09 07:45:00,7.7
