"","t","do"
"1",2023-09-24 23:15:00,3.9
"2",2023-09-24 23:30:00,4
"3",2023-09-24 23:45:00,4.1
"4",2023-09-25 00:00:00,4.2
"5",2023-09-25 00:15:00,4.4
"6",2023-09-25 00:30:00,4.6
"7",2023-09-25 00:45:00,4.9
"8",2023-09-25 01:00:00,5.1
"9",2023-09-25 01:15:00,5.2
"10",2023-09-25 01:30:00,5.3
"11",2023-09-25 01:45:00,5.3
"12",2023-09-25 02:00:00,5.4
"13",2023-09-25 02:15:00,5.4
"14",2023-09-25 02:30:00,5.4
"15",2023-09-25 02:45:00,5.1
"16",2023-09-25 03:00:00,5.4
"17",2023-09-25 03:15:00,5.4
"18",2023-09-25 03:30:00,5.4
"19",2023-09-25 03:45:00,5.3
"20",2023-09-25 04:00:00,5.2
"21",2023-09-25 04:15:00,5.2
"22",2023-09-25 04:30:00,NA
"23",2023-09-25 04:45:00,5
"24",2023-09-25 05:00:00,4.8
"25",2023-09-25 05:15:00,4.6
"26",2023-09-25 05:30:00,4.5
"27",2023-09-25 05:45:00,4.4
"28",2023-09-25 06:00:00,4.4
"29",2023-09-25 06:15:00,4.2
"30",2023-09-25 06:30:00,4.2
"31",2023-09-25 06:45:00,4.1
"32",2023-09-25 07:00:00,3.9
"33",2023-09-25 07:15:00,3.9
"34",2023-09-25 07:30:00,3.8
"35",2023-09-25 07:45:00,3.8
"36",2023-09-25 08:00:00,3.7
"37",2023-09-25 08:15:00,3.8
"38",2023-09-25 08:30:00,3.8
"39",2023-09-25 08:45:00,3.9
"40",2023-09-25 09:00:00,3.8
"41",2023-09-25 09:15:00,4
"42",2023-09-25 09:30:00,4
"43",2023-09-25 09:45:00,4.1
"44",2023-09-25 10:00:00,4.1
"45",2023-09-25 10:15:00,4.1
"46",2023-09-25 10:30:00,4.1
"47",2023-09-25 10:45:00,4.2
"48",2023-09-25 11:00:00,4.3
"49",2023-09-25 11:15:00,4.3
"50",2023-09-25 11:30:00,4.4
"51",2023-09-25 11:45:00,4.2
"52",2023-09-25 12:00:00,4.2
"53",2023-09-25 12:15:00,4.3
"54",2023-09-25 12:30:00,4.2
"55",2023-09-25 12:45:00,4
"56",2023-09-25 13:00:00,4
"57",2023-09-25 13:15:00,3.9
"58",2023-09-25 13:30:00,3.7
"59",2023-09-25 13:45:00,3.6
"60",2023-09-25 14:00:00,3.6
"61",2023-09-25 14:15:00,3.4
"62",2023-09-25 14:30:00,3.2
"63",2023-09-25 14:45:00,3.3
"64",2023-09-25 15:00:00,2.9
"65",2023-09-25 15:15:00,2.8
"66",2023-09-25 15:30:00,4
"67",2023-09-25 15:45:00,4.4
"68",2023-09-25 16:00:00,4.7
"69",2023-09-25 16:15:00,4.9
"70",2023-09-25 16:30:00,5
"71",2023-09-25 16:45:00,5.2
"72",2023-09-25 17:00:00,5.2
"73",2023-09-25 17:15:00,4.4
"74",2023-09-25 17:30:00,4.6
"75",2023-09-25 17:45:00,4.5
"76",2023-09-25 18:00:00,4.5
"77",2023-09-25 18:15:00,4
"78",2023-09-25 18:30:00,3.9
"79",2023-09-25 18:45:00,3.8
"80",2023-09-25 19:00:00,3.6
"81",2023-09-25 19:15:00,3.5
"82",2023-09-25 19:30:00,3.5
"83",2023-09-25 19:45:00,3.3
"84",2023-09-25 20:00:00,3.5
"85",2023-09-25 20:15:00,3.4
"86",2023-09-25 20:30:00,3.3
"87",2023-09-25 20:45:00,3.4
"88",2023-09-25 21:00:00,3.7
"89",2023-09-25 21:15:00,3.6
"90",2023-09-25 21:30:00,3.5
"91",2023-09-25 21:45:00,3.8
"92",2023-09-25 22:00:00,3.8
"93",2023-09-25 22:15:00,3.6
"94",2023-09-25 22:30:00,3.8
"95",2023-09-25 22:45:00,3.9
"96",2023-09-25 23:00:00,3.5
"97",2023-09-25 23:15:00,3.6
"98",2023-09-25 23:30:00,3.6
"99",2023-09-25 23:45:00,3.4
"100",2023-09-26 00:00:00,NA
"101",2023-09-26 00:15:00,NA
"102",2023-09-26 00:30:00,3.6
"103",2023-09-26 00:45:00,3.6
"104",2023-09-26 01:00:00,NA
"105",2023-09-26 01:15:00,3.9
"106",2023-09-26 01:30:00,3.9
"107",2023-09-26 01:45:00,3.8
"108",2023-09-26 02:00:00,3.7
"109",2023-09-26 02:15:00,3.6
"110",2023-09-26 02:30:00,3.6
"111",2023-09-26 02:45:00,3.7
"112",2023-09-26 03:00:00,3.8
"113",2023-09-26 03:15:00,4
"114",2023-09-26 03:30:00,4.1
"115",2023-09-26 03:45:00,4.2
"116",2023-09-26 04:00:00,4.1
"117",2023-09-26 04:15:00,4.3
"118",2023-09-26 04:30:00,4.3
"119",2023-09-26 04:45:00,4.2
"120",2023-09-26 05:00:00,4
"121",2023-09-26 05:15:00,3.9
"122",2023-09-26 05:30:00,3.8
"123",2023-09-26 05:45:00,3.8
"124",2023-09-26 06:00:00,3.7
"125",2023-09-26 06:15:00,3.7
"126",2023-09-26 06:30:00,3.6
"127",2023-09-26 06:45:00,3.7
"128",2023-09-26 07:00:00,3.6
"129",2023-09-26 07:15:00,3.6
"130",2023-09-26 07:30:00,3.7
"131",2023-09-26 07:45:00,3.7
"132",2023-09-26 08:00:00,3.7
"133",2023-09-26 08:15:00,3.6
"134",2023-09-26 08:30:00,3.5
"135",2023-09-26 08:45:00,3.6
"136",2023-09-26 09:00:00,3.7
"137",2023-09-26 09:15:00,3.8
"138",2023-09-26 09:30:00,3.7
"139",2023-09-26 09:45:00,3.6
"140",2023-09-26 10:00:00,3.9
"141",2023-09-26 10:15:00,3.8
"142",2023-09-26 10:30:00,3.8
"143",2023-09-26 10:45:00,3.8
"144",2023-09-26 11:00:00,3.9
"145",2023-09-26 11:15:00,4
"146",2023-09-26 11:30:00,4.2
"147",2023-09-26 11:45:00,3.9
"148",2023-09-26 12:00:00,4.2
"149",2023-09-26 12:15:00,4.3
"150",2023-09-26 12:30:00,3.9
"151",2023-09-26 12:45:00,4
"152",2023-09-26 13:00:00,4
"153",2023-09-26 13:15:00,4.1
"154",2023-09-26 13:30:00,3.9
"155",2023-09-26 13:45:00,4.1
"156",2023-09-26 14:00:00,3.8
"157",2023-09-26 14:15:00,3.6
"158",2023-09-26 14:30:00,3.8
"159",2023-09-26 14:45:00,3.8
"160",2023-09-26 15:00:00,3.4
"161",2023-09-26 15:15:00,3.3
"162",2023-09-26 15:30:00,3.4
"163",2023-09-26 15:45:00,3.5
"164",2023-09-26 16:00:00,3.6
"165",2023-09-26 16:15:00,3.7
"166",2023-09-26 16:30:00,3.8
"167",2023-09-26 16:45:00,3.8
"168",2023-09-26 17:00:00,3.9
"169",2023-09-26 17:15:00,3.9
"170",2023-09-26 17:30:00,3.9
"171",2023-09-26 17:45:00,4.1
"172",2023-09-26 18:00:00,3.7
"173",2023-09-26 18:15:00,3.9
"174",2023-09-26 18:30:00,4.9
"175",2023-09-26 18:45:00,4.8
"176",2023-09-26 19:00:00,4.5
"177",2023-09-26 19:15:00,4.3
"178",2023-09-26 19:30:00,4.4
"179",2023-09-26 19:45:00,4.3
"180",2023-09-26 20:00:00,4.2
"181",2023-09-26 20:15:00,4.1
"182",2023-09-26 20:30:00,4
"183",2023-09-26 20:45:00,4
"184",2023-09-26 21:00:00,3.9
"185",2023-09-26 21:15:00,3.9
"186",2023-09-26 21:30:00,3.9
"187",2023-09-26 21:45:00,3.8
"188",2023-09-26 22:00:00,3.8
"189",2023-09-26 22:15:00,3.8
"190",2023-09-26 22:30:00,3.8
"191",2023-09-26 22:45:00,3.9
"192",2023-09-26 23:00:00,3.7
"193",2023-09-26 23:15:00,3.6
"194",2023-09-26 23:30:00,3.8
"195",2023-09-26 23:45:00,3.4
"196",2023-09-27 00:00:00,3.8
"197",2023-09-27 00:15:00,3.7
"198",2023-09-27 00:30:00,3.7
