"","t","do"
"1",2024-09-19 09:15:00,4.5
"2",2024-09-19 09:30:00,4.5
"3",2024-09-19 09:45:00,4.6
"4",2024-09-19 10:00:00,4.6
"5",2024-09-19 10:15:00,4.5
"6",2024-09-19 10:30:00,4.4
"7",2024-09-19 10:45:00,4.4
"8",2024-09-19 11:00:00,4.4
"9",2024-09-19 11:15:00,4.2
"10",2024-09-19 11:30:00,4.2
"11",2024-09-19 11:45:00,4.1
"12",2024-09-19 12:00:00,4.1
"13",2024-09-19 12:15:00,4
"14",2024-09-19 12:30:00,3.9
"15",2024-09-19 12:45:00,4
"16",2024-09-19 13:00:00,4
"17",2024-09-19 13:15:00,4
"18",2024-09-19 13:30:00,4.1
"19",2024-09-19 13:45:00,4.2
"20",2024-09-19 14:00:00,4.2
"21",2024-09-19 14:15:00,4.3
"22",2024-09-19 14:30:00,4.3
"23",2024-09-19 14:45:00,4.2
"24",2024-09-19 15:00:00,4.1
"25",2024-09-19 15:15:00,4.2
"26",2024-09-19 15:30:00,4.6
"27",2024-09-19 15:45:00,4.6
"28",2024-09-19 16:00:00,4.6
"29",2024-09-19 16:15:00,4.5
"30",2024-09-19 16:30:00,4.3
"31",2024-09-19 16:45:00,4.2
"32",2024-09-19 17:00:00,4
"33",2024-09-19 17:15:00,3.8
"34",2024-09-19 17:30:00,3.9
"35",2024-09-19 17:45:00,3.6
"36",2024-09-19 18:00:00,3.4
"37",2024-09-19 18:15:00,3.6
"38",2024-09-19 18:30:00,4.8
"39",2024-09-19 18:45:00,4.9
"40",2024-09-19 19:00:00,5.1
"41",2024-09-19 19:15:00,5.1
"42",2024-09-19 19:30:00,5.2
"43",2024-09-19 19:45:00,5.3
"44",2024-09-19 20:00:00,5.3
"45",2024-09-19 20:15:00,5.4
"46",2024-09-19 20:30:00,5.4
"47",2024-09-19 20:45:00,5.4
"48",2024-09-19 21:00:00,5.4
"49",2024-09-19 21:15:00,5.5
"50",2024-09-19 21:30:00,5.4
"51",2024-09-19 21:45:00,5.4
"52",2024-09-19 22:00:00,5.5
"53",2024-09-19 22:15:00,5.4
"54",2024-09-19 22:30:00,5.4
"55",2024-09-19 22:45:00,5.3
"56",2024-09-19 23:00:00,5.2
"57",2024-09-19 23:15:00,5.2
"58",2024-09-19 23:30:00,5.2
"59",2024-09-19 23:45:00,5
"60",2024-09-20 00:00:00,5
"61",2024-09-20 00:15:00,5
"62",2024-09-20 00:30:00,4.8
"63",2024-09-20 00:45:00,4.7
"64",2024-09-20 01:00:00,4.7
"65",2024-09-20 01:15:00,4.6
"66",2024-09-20 01:30:00,4.6
"67",2024-09-20 01:45:00,4.5
"68",2024-09-20 02:00:00,4.3
"69",2024-09-20 02:15:00,4.3
"70",2024-09-20 02:30:00,4.2
"71",2024-09-20 02:45:00,4.2
"72",2024-09-20 03:00:00,4.2
"73",2024-09-20 03:15:00,4.1
"74",2024-09-20 03:30:00,4.2
"75",2024-09-20 03:45:00,4.1
"76",2024-09-20 04:00:00,4.1
"77",2024-09-20 04:15:00,4
"78",2024-09-20 04:30:00,4.3
"79",2024-09-20 04:45:00,4.2
"80",2024-09-20 05:00:00,4
"81",2024-09-20 05:15:00,4.1
"82",2024-09-20 05:30:00,4.1
"83",2024-09-20 05:45:00,3.8
"84",2024-09-20 06:00:00,3.6
"85",2024-09-20 06:15:00,3.5
"86",2024-09-20 06:30:00,3.3
"87",2024-09-20 06:45:00,3.2
"88",2024-09-20 07:00:00,3
"89",2024-09-20 07:15:00,2.8
"90",2024-09-20 07:30:00,2.8
"91",2024-09-20 07:45:00,3
"92",2024-09-20 08:00:00,2.8
"93",2024-09-20 08:15:00,3
"94",2024-09-20 08:30:00,3.5
"95",2024-09-20 08:45:00,3.6
"96",2024-09-20 09:00:00,3.8
"97",2024-09-20 09:15:00,4
"98",2024-09-20 09:30:00,4.1
"99",2024-09-20 09:45:00,4
"100",2024-09-20 10:00:00,4.2
"101",2024-09-20 10:15:00,4.2
"102",2024-09-20 10:30:00,4.1
"103",2024-09-20 10:45:00,4
"104",2024-09-20 11:00:00,3.9
"105",2024-09-20 11:15:00,3.5
"106",2024-09-20 11:30:00,3.4
"107",2024-09-20 11:45:00,3.2
"108",2024-09-20 12:00:00,3.3
"109",2024-09-20 12:15:00,3.1
"110",2024-09-20 12:30:00,3.2
"111",2024-09-20 12:45:00,3.2
"112",2024-09-20 13:00:00,3.2
"113",2024-09-20 13:15:00,3.2
"114",2024-09-20 13:30:00,3.1
"115",2024-09-20 13:45:00,3.2
"116",2024-09-20 14:00:00,3.3
"117",2024-09-20 14:15:00,3.4
"118",2024-09-20 14:30:00,3.4
"119",2024-09-20 14:45:00,3.6
"120",2024-09-20 15:00:00,3.6
"121",2024-09-20 15:15:00,3.6
"122",2024-09-20 15:30:00,3.9
"123",2024-09-20 15:45:00,3.6
"124",2024-09-20 16:00:00,4
"125",2024-09-20 16:15:00,4
"126",2024-09-20 16:30:00,4.1
"127",2024-09-20 16:45:00,4.1
"128",2024-09-20 17:00:00,4
"129",2024-09-20 17:15:00,3.8
"130",2024-09-20 17:30:00,3.6
"131",2024-09-20 17:45:00,3.5
"132",2024-09-20 18:00:00,3.3
"133",2024-09-20 18:15:00,3.5
"134",2024-09-20 18:30:00,3.3
"135",2024-09-20 18:45:00,3.7
"136",2024-09-20 19:00:00,3.4
"137",2024-09-20 19:15:00,4.6
"138",2024-09-20 19:30:00,4.7
"139",2024-09-20 19:45:00,4.8
"140",2024-09-20 20:00:00,4.8
"141",2024-09-20 20:15:00,4.9
"142",2024-09-20 20:30:00,4.9
"143",2024-09-20 20:45:00,5
"144",2024-09-20 21:00:00,4.9
"145",2024-09-20 21:15:00,4.8
"146",2024-09-20 21:30:00,4.8
"147",2024-09-20 21:45:00,4.9
"148",2024-09-20 22:00:00,4.9
"149",2024-09-20 22:15:00,4.9
"150",2024-09-20 22:30:00,4.8
"151",2024-09-20 22:45:00,4.9
"152",2024-09-20 23:00:00,4.9
"153",2024-09-20 23:15:00,4.9
