"","t","do"
"1",2026-09-01 09:15:00,2.5
"2",2026-09-01 09:30:00,2.9
"3",2026-09-01 09:45:00,3.1
"4",2026-09-01 10:00:00,3.1
"5",2026-09-01 10:15:00,3
"6",2026-09-01 10:30:00,3
"7",2026-09-01 10:45:00,2.9
"8",2026-09-01 11:00:00,3.1
"9",2026-09-01 11:15:00,3.1
"10",2026-09-01 11:30:00,3.2
"11",2026-09-01 11:45:00,3
"12",2026-09-01 12:00:00,3.2
"13",2026-09-01 12:15:00,2.9
"14",2026-09-01 12:30:00,2.8
"15",2026-09-01 12:45:00,2.6
"16",2026-09-01 13:00:00,2.5
"17",2026-09-01 13:15:00,2.5
"18",2026-09-01 13:30:00,2.4
"19",2026-09-01 13:45:00,2.5
"20",2026-09-01 14:00:00,2.5
"21",2026-09-01 14:15:00,2.4
"22",2026-09-01 14:30:00,2.6
"23",2026-09-01 14:45:00,2.7
"24",2026-09-01 15:00:00,2.8
"25",2026-09-01 15:15:00,2.9
"26",2026-09-01 15:30:00,3
"27",2026-09-01 15:45:00,3.1
"28",2026-09-01 16:00:00,3.1
"29",2026-09-01 16:15:00,3.3
"30",2026-09-01 16:30:00,3.3
"31",2026-09-01 16:45:00,3.3
"32",2026-09-01 17:00:00,3.4
"33",2026-09-01 17:15:00,3.4
"34",2026-09-01 17:30:00,3.3
"35",2026-09-01 17:45:00,3.2
"36",2026-09-01 18:00:00,3.2
"37",2026-09-01 18:15:00,3.1
"38",2026-09-01 18:30:00,2.9
"39",2026-09-01 18:45:00,2.8
"40",2026-09-01 19:00:00,2.8
"41",2026-09-01 19:15:00,3.1
"42",2026-09-01 19:30:00,3
"43",2026-09-01 19:45:00,3.2
"44",2026-09-01 20:00:00,3.6
"45",2026-09-01 20:15:00,3.7
"46",2026-09-01 20:30:00,3.8
"47",2026-09-01 20:45:00,3.9
"48",2026-09-01 21:00:00,4
"49",2026-09-01 21:15:00,4
"50",2026-09-01 21:30:00,4.1
"51",2026-09-01 21:45:00,4.3
"52",2026-09-01 22:00:00,4.5
"53",2026-09-01 22:15:00,4.7
"54",2026-09-01 22:30:00,4.8
"55",2026-09-01 22:45:00,4.9
"56",2026-09-01 23:00:00,5
"57",2026-09-01 23:15:00,5
"58",2026-09-01 23:30:00,5
"59",2026-09-01 23:45:00,5
"60",2026-09-02 00:00:00,5
"61",2026-09-02 00:15:00,5.1
"62",2026-09-02 00:30:00,5
"63",2026-09-02 00:45:00,4.8
"64",2026-09-02 01:00:00,4.8
"65",2026-09-02 01:15:00,4.6
"66",2026-09-02 01:30:00,4.4
"67",2026-09-02 01:45:00,4.3
"68",2026-09-02 02:00:00,4.2
"69",2026-09-02 02:15:00,4.1
"70",2026-09-02 02:30:00,4
"71",2026-09-02 02:45:00,3.9
"72",2026-09-02 03:00:00,3.8
"73",2026-09-02 03:15:00,3.7
"74",2026-09-02 03:30:00,3.6
"75",2026-09-02 03:45:00,3.5
"76",2026-09-02 04:00:00,3.5
"77",2026-09-02 04:15:00,3.5
"78",2026-09-02 04:30:00,3.5
"79",2026-09-02 04:45:00,3.5
"80",2026-09-02 05:00:00,3.5
"81",2026-09-02 05:15:00,3.6
"82",2026-09-02 05:30:00,3.6
"83",2026-09-02 05:45:00,3.6
"84",2026-09-02 06:00:00,3.6
"85",2026-09-02 06:15:00,3.6
"86",2026-09-02 06:30:00,3.6
"87",2026-09-02 06:45:00,3.6
"88",2026-09-02 07:00:00,3.5
"89",2026-09-02 07:15:00,3.5
"90",2026-09-02 07:30:00,3.4
"91",2026-09-02 07:45:00,3.2
"92",2026-09-02 08:00:00,3.1
"93",2026-09-02 08:15:00,3.1
"94",2026-09-02 08:30:00,2.8
"95",2026-09-02 08:45:00,2.7
"96",2026-09-02 09:00:00,2.6
"97",2026-09-02 09:15:00,2.3
"98",2026-09-02 09:30:00,2.4
"99",2026-09-02 09:45:00,2.3
"100",2026-09-02 10:00:00,2.2
"101",2026-09-02 10:15:00,2.1
"102",2026-09-02 10:30:00,2
"103",2026-09-02 10:45:00,2.2
"104",2026-09-02 11:00:00,2.1
"105",2026-09-02 11:15:00,2
"106",2026-09-02 11:30:00,2
"107",2026-09-02 11:45:00,2
"108",2026-09-02 12:00:00,2.4
"109",2026-09-02 12:15:00,2.4
"110",2026-09-02 12:30:00,2.7
"111",2026-09-02 12:45:00,3.1
"112",2026-09-02 13:00:00,3.5
"113",2026-09-02 13:15:00,2.8
"114",2026-09-02 13:30:00,2.6
"115",2026-09-02 13:45:00,2.4
"116",2026-09-02 14:00:00,2.3
"117",2026-09-02 14:15:00,2.2
"118",2026-09-02 14:30:00,2.3
"119",2026-09-02 14:45:00,2.3
"120",2026-09-02 15:00:00,2.4
"121",2026-09-02 15:15:00,2.5
"122",2026-09-02 15:30:00,2.5
"123",2026-09-02 15:45:00,2.7
"124",2026-09-02 16:00:00,2.8
"125",2026-09-02 16:15:00,2.8
"126",2026-09-02 16:30:00,3
"127",2026-09-02 16:45:00,3
"128",2026-09-02 17:00:00,3.1
"129",2026-09-02 17:15:00,3.1
"130",2026-09-02 17:30:00,3.1
"131",2026-09-02 17:45:00,3.1
"132",2026-09-02 18:00:00,3.1
"133",2026-09-02 18:15:00,3
"134",2026-09-02 18:30:00,2.9
"135",2026-09-02 18:45:00,2.7
"136",2026-09-02 19:00:00,2.6
"137",2026-09-02 19:15:00,2.8
"138",2026-09-02 19:30:00,2.7
"139",2026-09-02 19:45:00,2.9
"140",2026-09-02 20:00:00,3.5
"141",2026-09-02 20:15:00,3.6
"142",2026-09-02 20:30:00,3.6
"143",2026-09-02 20:45:00,3.6
