"","t","h_ft","v_ft_s","cp_ug_l","t_f","trb_fnu","do_mg_l"
"1",2023-05-26 23:15:00,6.22,-0.06,25.86,69.6,32.57,6.4
"2",2023-05-26 23:30:00,6.33,-0.09,21.1,69.6,36.93,6.6
"3",2023-05-26 23:45:00,6.42,-0.12,22.07,69.6,32.16,6.7
"4",2023-05-27,6.5,-0.16,21.3,69.5,32.66,6.8
"5",2023-05-27 00:15:00,6.58,-0.16,20.91,69.4,33.95,6.6
"6",2023-05-27 00:30:00,6.64,-0.18,22.38,69.3,33.64,6.5
"7",2023-05-27 00:45:00,6.7,-0.2,20.41,69.2,38.29,6.6
"8",2023-05-27 01:00:00,6.75,-0.2,20.97,69.2,34.05,6.6
"9",2023-05-27 01:15:00,6.78,-0.2,19.6,69.1,34.52,6.5
"10",2023-05-27 01:30:00,6.79,-0.18,19.45,69,34.44,6.5
"11",2023-05-27 01:45:00,6.77,-0.16,19.31,69,34.99,6.5
"12",2023-05-27 02:00:00,6.74,-0.11,16.66,68.9,32.43,6.4
"13",2023-05-27 02:15:00,6.69,-0.03,16.32,68.9,35.23,6.1
"14",2023-05-27 02:30:00,6.63,0.08,16.64,68.8,36.82,6
"15",2023-05-27 02:45:00,6.56,0.14,15.38,68.8,32.68,6.2
"16",2023-05-27 03:00:00,6.48,0.18,16.04,68.7,31.84,6.2
"17",2023-05-27 03:15:00,6.41,0.22,18.09,68.7,33.04,6.2
"18",2023-05-27 03:30:00,6.33,0.25,18.21,68.7,32.28,6.2
"19",2023-05-27 03:45:00,6.26,0.26,17.34,68.7,33.43,6.1
"20",2023-05-27 04:00:00,6.18,0.28,17.45,68.6,31.28,6.1
"21",2023-05-27 04:15:00,6.11,0.27,17.28,68.6,33.41,6.1
"22",2023-05-27 04:30:00,6.04,0.29,18.54,68.5,33.78,6.1
"23",2023-05-27 04:45:00,5.96,0.29,16.83,68.5,36.6,6.1
"24",2023-05-27 05:00:00,5.88,0.3,18.73,68.4,35.03,6
"25",2023-05-27 05:15:00,5.81,0.31,18.57,68.4,36.79,6
"26",2023-05-27 05:30:00,5.73,0.32,16.87,68.3,37.32,6
"27",2023-05-27 05:45:00,5.66,0.32,17.92,68.3,37.75,6
"28",2023-05-27 06:00:00,5.59,0.33,18.56,68.2,36.27,5.9
"29",2023-05-27 06:15:00,5.53,0.32,19.4,68.2,37.99,5.9
"30",2023-05-27 06:30:00,5.48,0.31,18.49,68.2,35.31,5.9
"31",2023-05-27 06:45:00,5.44,0.3,19.18,68.1,36.89,5.9
"32",2023-05-27 07:00:00,5.4,0.28,17.28,68.1,38.35,5.9
"33",2023-05-27 07:15:00,5.39,0.29,16.1,68.1,35.97,6
"34",2023-05-27 07:30:00,5.38,0.28,19.21,68.1,36.99,6.1
"35",2023-05-27 07:45:00,5.39,0.26,18.99,68.1,35.84,6
"36",2023-05-27 08:00:00,5.42,0.26,19.91,68.1,37.6,6
"37",2023-05-27 08:15:00,5.48,0.27,19.01,68.2,36.03,6
"38",2023-05-27 08:30:00,5.56,0.23,19.44,68.3,35.36,6
"39",2023-05-27 08:45:00,5.68,0.23,20.93,68.3,36.72,6
"40",2023-05-27 09:00:00,5.8,0.19,17.46,68.4,33.17,6.1
"41",2023-05-27 09:15:00,5.9,0.17,20.46,68.4,36.08,6
"42",2023-05-27 09:30:00,5.99,0.17,21.81,68.5,35.63,6
"43",2023-05-27 09:45:00,6.07,0.14,18.73,68.6,34.6,6
"44",2023-05-27 10:00:00,6.12,0.12,19.7,68.7,34.14,6
"45",2023-05-27 10:15:00,6.16,0.11,20.24,68.8,37.19,5.7
"46",2023-05-27 10:30:00,6.18,0.13,19.88,68.8,33.95,5.9
"47",2023-05-27 10:45:00,6.16,0.12,20.24,69,31.49,6.1
"48",2023-05-27 11:00:00,6.11,0.15,18.59,68.9,36.64,5.7
"49",2023-05-27 11:15:00,6.06,0.17,19.11,69,36.14,5.8
"50",2023-05-27 11:30:00,5.98,0.2,18.17,69.1,34.14,5.9
"51",2023-05-27 11:45:00,5.89,0.22,21.97,69.2,33.47,6.1
"52",2023-05-27 12:00:00,5.79,0.24,21.34,69.3,34.1,6
"53",2023-05-27 12:15:00,5.71,0.24,20.31,69.3,33.06,6
"54",2023-05-27 12:30:00,5.63,0.21,20.05,69.4,33.11,6
"55",2023-05-27 12:45:00,5.54,0.2,18.51,69.4,33.33,6.1
"56",2023-05-27 13:00:00,5.45,0.2,19.82,69.6,34.92,6.1
"57",2023-05-27 13:15:00,5.37,0.19,19.11,69.7,34.82,6
"58",2023-05-27 13:30:00,5.28,0.18,20.6,69.8,35.84,6.3
"59",2023-05-27 13:45:00,5.2,0.19,19.78,70,34.13,6.3
"60",2023-05-27 14:00:00,5.12,0.2,20.31,70.1,34.91,6.2
"61",2023-05-27 14:15:00,5.04,0.2,21.03,70.1,33.42,6.3
"62",2023-05-27 14:30:00,4.95,0.21,18.74,70.3,33.98,6.5
"63",2023-05-27 14:45:00,4.87,0.22,21.01,70.4,34.01,6.5
"64",2023-05-27 15:00:00,4.79,0.23,20.84,70.5,32.7,6.6
"65",2023-05-27 15:15:00,4.71,0.23,20.86,70.6,34.38,6.7
"66",2023-05-27 15:30:00,4.63,0.24,20.78,70.7,33.85,6.8
"67",2023-05-27 15:45:00,4.54,0.23,20.38,70.8,32.52,6.8
"68",2023-05-27 16:00:00,4.46,0.23,22.24,70.9,35.04,6.8
"69",2023-05-27 16:15:00,4.37,0.23,23.08,71,34.87,6.9
"70",2023-05-27 16:30:00,4.29,0.22,21.21,71,34.32,7
"71",2023-05-27 16:45:00,4.2,0.22,21.59,71.1,33.05,7
"72",2023-05-27 17:00:00,4.11,0.21,20.99,71.1,34.1,6.9
"73",2023-05-27 17:15:00,4.04,0.22,21.39,71.2,31.63,7.1
"74",2023-05-27 17:30:00,3.95,0.22,21.8,71.2,35.36,7
"75",2023-05-27 17:45:00,3.87,0.23,26.42,71.2,37.15,7
"76",2023-05-27 18:00:00,3.78,0.22,20.85,71.2,33.65,7.4
"77",2023-05-27 18:15:00,3.72,0.21,24.91,71.2,35.11,7.5
"78",2023-05-27 18:30:00,3.65,0.22,24.43,71.2,35.84,7.6
"79",2023-05-27 18:45:00,3.6,0.22,25.56,71.1,31.22,7.6
"80",2023-05-27 19:00:00,3.53,0.22,26.06,71.1,36.28,7.6
"81",2023-05-27 19:15:00,3.49,0.22,46.14,71.1,33.6,7.6
"82",2023-05-27 19:30:00,3.49,0.22,27.77,71.1,33.27,7.7
"83",2023-05-27 19:45:00,3.55,0.2,27.96,71,34.13,7.7
"84",2023-05-27 20:00:00,3.69,0.2,27.68,71,35.87,7.5
"85",2023-05-27 20:15:00,3.91,0.16,23.59,70.9,35.46,7.6
"86",2023-05-27 20:30:00,4.07,0.17,27.06,70.8,33.5,7.7
"87",2023-05-27 20:45:00,4.25,0.17,24.35,70.8,34.05,7.5
"88",2023-05-27 21:00:00,4.4,0.17,25.87,70.7,36.47,7.6
"89",2023-05-27 21:15:00,4.56,0.17,27.05,70.6,33.98,7.5
"90",2023-05-27 21:30:00,4.74,0.15,25.32,70.5,33.99,7.5
"91",2023-05-27 21:45:00,4.92,0.14,24.99,70.4,32.24,7.4
"92",2023-05-27 22:00:00,5.09,0.14,24.12,70.4,33.68,7.2
"93",2023-05-27 22:15:00,5.26,0.1,25.89,70.3,33.62,7
"94",2023-05-27 22:30:00,5.44,0.1,49.32,70.2,34.11,7
"95",2023-05-27 22:45:00,5.6,0.09,29.9,70.2,34.02,6.9
"96",2023-05-27 23:00:00,5.75,0.06,24.69,70.1,37.28,6.6
"97",2023-05-27 23:15:00,5.88,0,24,70,35.04,6.4
"98",2023-05-27 23:30:00,6,-0.06,24.63,70,31.73,6.8
"99",2023-05-27 23:45:00,6.13,-0.09,28.66,70,31.51,7.1
"100",2023-05-28,6.22,-0.12,26.26,70,32.45,7.1
"101",2023-05-28 00:15:00,6.32,-0.15,26.81,70,33.61,7.2
"102",2023-05-28 00:30:00,6.42,-0.19,24.59,69.9,32.34,7.1
"103",2023-05-28 00:45:00,6.5,-0.21,24.67,69.9,35.69,7
"104",2023-05-28 01:00:00,6.57,-0.23,23.36,69.8,32.35,7
"105",2023-05-28 01:15:00,6.63,-0.26,23.5,69.7,33.83,6.9
"106",2023-05-28 01:30:00,6.68,-0.26,23.39,69.6,35.62,6.8
"107",2023-05-28 01:45:00,6.71,-0.26,23.96,69.5,33.57,6.8
"108",2023-05-28 02:00:00,6.72,-0.26,23.11,69.4,36.42,6.7
"109",2023-05-28 02:15:00,6.71,-0.24,21.29,69.3,36.22,6.6
"110",2023-05-28 02:30:00,6.67,-0.17,21.88,69.2,38.32,6.5
"111",2023-05-28 02:45:00,6.59,-0.12,18.44,69.1,37.16,6.4
"112",2023-05-28 03:00:00,6.51,-0.04,18.01,69.1,36.41,6.2
"113",2023-05-28 03:15:00,6.43,0.07,18.99,69.1,35.07,6
"114",2023-05-28 03:30:00,6.35,0.11,23.39,69,35.87,6
"115",2023-05-28 03:45:00,6.27,0.16,19.17,69,34.11,6.1
"116",2023-05-28 04:00:00,6.19,0.17,20.28,69,30.85,6.2
"117",2023-05-28 04:15:00,6.1,0.22,19.42,69,32.71,6.3
"118",2023-05-28 04:30:00,6.01,0.22,20.44,69.1,33.4,6.2
"119",2023-05-28 04:45:00,5.92,0.23,18.88,69.1,32.68,6.2
"120",2023-05-28 05:00:00,5.82,0.24,21.9,69.1,31.73,6.2
"121",2023-05-28 05:15:00,5.73,0.24,21.44,69.1,34.13,6.2
"122",2023-05-28 05:30:00,5.63,0.25,22.2,69.1,34.78,6.2
"123",2023-05-28 05:45:00,5.53,0.26,21.55,69.1,33.3,6
"124",2023-05-28 06:00:00,5.44,0.26,20.74,69.1,33.71,6
"125",2023-05-28 06:15:00,5.36,0.27,20.1,69.1,35.86,5.9
"126",2023-05-28 06:30:00,5.26,0.29,20.38,69.1,34.69,6
"127",2023-05-28 06:45:00,5.18,0.28,19.33,69,35.99,6
"128",2023-05-28 07:00:00,5.1,0.27,21.51,69,36.27,6
"129",2023-05-28 07:15:00,5.02,0.27,22.9,69,37.63,5.9
"130",2023-05-28 07:30:00,4.95,0.26,20.73,68.9,33.83,5.8
"131",2023-05-28 07:45:00,4.89,0.26,20.7,68.8,34.51,5.8
"132",2023-05-28 08:00:00,4.83,0.26,23.46,68.8,35.2,5.9
"133",2023-05-28 08:15:00,4.79,0.26,21.97,68.8,36.67,5.9
"134",2023-05-28 08:30:00,4.77,0.26,21.63,68.8,36.39,5.8
"135",2023-05-28 08:45:00,4.76,0.25,19.06,68.7,34.04,5.9
"136",2023-05-28 09:00:00,4.78,0.22,21.99,68.7,33.62,5.8
"137",2023-05-28 09:15:00,4.83,0.21,20.24,68.7,34.84,5.8
"138",2023-05-28 09:30:00,4.94,0.19,23.96,68.7,32.02,5.8
"139",2023-05-28 09:45:00,5.08,0.2,18.3,68.8,32.99,5.9
"140",2023-05-28 10:00:00,5.22,0.19,20.8,68.8,31.43,5.9
"141",2023-05-28 10:15:00,5.36,0.16,17.73,68.9,31.99,5.8
"142",2023-05-28 10:30:00,5.48,0.16,19.34,69,36.6,5.9
"143",2023-05-28 10:45:00,5.6,0.13,19.99,69,33.28,5.9
"144",2023-05-28 11:00:00,5.69,0.11,22.78,69.1,31.91,5.9
"145",2023-05-28 11:15:00,5.77,0.11,20.38,69.2,31.76,5.7
"146",2023-05-28 11:30:00,5.83,0.1,23.22,69.2,32.19,5.9
"147",2023-05-28 11:45:00,5.89,0.09,22.33,69.3,34.74,5.4
"148",2023-05-28 12:00:00,5.91,0.09,19.19,69.3,32.25,5.2
"149",2023-05-28 12:15:00,5.9,0.09,19.15,69.3,36.62,5.1
"150",2023-05-28 12:30:00,5.88,0.1,22.02,69.5,32.87,5.7
"151",2023-05-28 12:45:00,5.83,0.11,22.53,69.6,41.54,6
"152",2023-05-28 13:00:00,5.75,0.16,27.75,69.6,33.54,5.7
"153",2023-05-28 13:15:00,5.64,0.18,19.47,69.4,31.01,5.7
"154",2023-05-28 13:30:00,5.53,0.19,21.49,69.6,29.5,6
"155",2023-05-28 13:45:00,5.41,0.19,20.01,69.7,28.59,6.2
"156",2023-05-28 14:00:00,5.33,0.21,21.58,69.8,28.02,6.3
"157",2023-05-28 14:15:00,5.26,0.2,21.22,69.8,27.8,6.4
"158",2023-05-28 14:30:00,5.17,0.18,17.36,69.8,30.64,6.4
"159",2023-05-28 14:45:00,5.1,0.16,20.62,69.9,31.05,6.5
"160",2023-05-28 15:00:00,5.03,0.15,22.93,70,26.88,6.5
"161",2023-05-28 15:15:00,4.96,0.15,22.56,70.2,27.32,6.7
"162",2023-05-28 15:30:00,4.9,0.17,23.6,70.2,31.66,6.7
"163",2023-05-28 15:45:00,4.81,0.16,19.9,70.3,28.57,6.8
"164",2023-05-28 16:00:00,4.73,0.16,19.72,70.4,27.21,6.9
"165",2023-05-28 16:15:00,4.63,0.17,20.37,70.4,27.33,6.8
"166",2023-05-28 16:30:00,4.55,0.17,21.83,70.4,27.89,6.9
"167",2023-05-28 16:45:00,4.47,0.15,19.39,70.5,26.59,7
"168",2023-05-28 17:00:00,4.38,0.16,22.75,70.5,25.83,7.3
"169",2023-05-28 17:15:00,4.3,0.17,21.71,70.6,27.3,7.3
"170",2023-05-28 17:30:00,4.2,0.17,22.13,70.6,26.64,7.5
"171",2023-05-28 17:45:00,4.11,0.17,25.25,70.6,26.62,7.5
"172",2023-05-28 18:00:00,4.02,0.16,33.19,70.6,27.81,7.6
"173",2023-05-28 18:15:00,3.92,0.18,21.64,70.6,24.55,7.7
"174",2023-05-28 18:30:00,3.85,0.18,23.26,70.6,28.43,7.7
"175",2023-05-28 18:45:00,3.77,0.17,22.83,70.6,26.41,7.6
"176",2023-05-28 19:00:00,3.69,0.17,25.73,70.6,25.52,7.7
"177",2023-05-28 19:15:00,3.62,0.18,25.75,70.5,24.99,7.7
"178",2023-05-28 19:30:00,3.58,0.16,24.56,70.5,29.67,7.6
"179",2023-05-28 19:45:00,3.55,0.15,26.71,70.5,27.63,7.8
"180",2023-05-28 20:00:00,3.54,0.17,31.28,70.4,25.57,7.8
"181",2023-05-28 20:15:00,3.56,0.15,24.07,70.4,24.76,7.8
"182",2023-05-28 20:30:00,3.69,0.11,31.67,70.3,27.49,7.7
"183",2023-05-28 20:45:00,3.89,0.14,26.18,70.3,28.35,7.7
"184",2023-05-28 21:00:00,4.07,0.11,25.94,70.2,26.62,7.7
"185",2023-05-28 21:15:00,4.23,0.12,27.09,70.2,32.51,7.5
"186",2023-05-28 21:30:00,4.39,0.11,23.57,70.1,27.09,7.7
"187",2023-05-28 21:45:00,4.54,0.11,27.84,70.1,28.16,7.7
"188",2023-05-28 22:00:00,4.71,0.11,27.11,70,31.08,7.7
"189",2023-05-28 22:15:00,4.88,0.09,27.88,69.9,26.97,7.7
"190",2023-05-28 22:30:00,5.05,0.1,26.63,69.9,29,7.5
"191",2023-05-28 22:45:00,5.23,0.09,24.75,69.8,28.48,7.4
"192",2023-05-28 23:00:00,5.41,0.06,23.77,69.8,31.34,7.2
"193",2023-05-28 23:15:00,5.57,0.06,23.72,69.8,29.61,6.8
"194",2023-05-28 23:30:00,5.73,0,26.84,69.7,31.62,6.6
"195",2023-05-28 23:45:00,5.86,-0.05,26.36,69.6,27.02,7.2
"196",2023-05-29,5.99,-0.09,27.15,69.6,24.36,7.5
"197",2023-05-29 00:15:00,6.12,-0.13,28.82,69.6,29.76,7.5
"198",2023-05-29 00:30:00,6.24,-0.17,27.35,69.5,27.22,7.5
"199",2023-05-29 00:45:00,6.35,-0.19,25.81,69.4,27.35,7.2
"200",2023-05-29 01:00:00,6.45,-0.22,25.86,69.3,27.78,7.1
"201",2023-05-29 01:15:00,6.55,-0.26,23.1,69.2,27.51,7.1
"202",2023-05-29 01:30:00,6.64,-0.28,23.26,69.1,29.27,7
"203",2023-05-29 01:45:00,6.71,-0.31,23.02,68.9,29.93,6.9
"204",2023-05-29 02:00:00,6.76,-0.32,21.85,68.8,28.57,6.8
"205",2023-05-29 02:15:00,6.82,-0.33,21.51,68.6,30.82,6.7
"206",2023-05-29 02:30:00,6.84,-0.31,21.11,68.5,31.2,6.6
"207",2023-05-29 02:45:00,6.84,-0.3,20.81,68.4,30.01,6.5
"208",2023-05-29 03:00:00,6.84,-0.28,19.01,68.3,28.93,6.4
"209",2023-05-29 03:15:00,6.8,-0.23,20.84,68.3,35.4,6.4
"210",2023-05-29 03:30:00,6.74,-0.18,20.19,68.3,32.23,6.4
"211",2023-05-29 03:45:00,6.65,-0.1,20.53,68.3,31.92,6.2
"212",2023-05-29 04:00:00,6.56,-0.02,15.31,68.3,33.9,6
"213",2023-05-29 04:15:00,6.5,0.05,18.44,68.2,31.87,6
"214",2023-05-29 04:30:00,6.41,0.12,26.08,68.2,30.93,6
"215",2023-05-29 04:45:00,6.32,0.18,19.84,68,29.65,6.2
"216",2023-05-29 05:00:00,6.23,0.21,18.28,68,28.97,6.2
"217",2023-05-29 05:15:00,6.14,0.23,17.75,68,28.58,6.2
"218",2023-05-29 05:30:00,6.04,0.24,18.25,68,29.32,6.1
"219",2023-05-29 05:45:00,5.95,0.25,18.19,68,29.1,6.1
"220",2023-05-29 06:00:00,5.85,0.25,18.74,67.9,30.18,6
"221",2023-05-29 06:15:00,5.75,0.26,18.65,67.9,29.04,6.1
"222",2023-05-29 06:30:00,5.65,0.26,17.1,67.9,31.84,6.1
"223",2023-05-29 06:45:00,5.55,0.25,17.01,67.9,30.76,6.1
"224",2023-05-29 07:00:00,5.45,0.25,17.84,68,34.19,6.2
"225",2023-05-29 07:15:00,5.35,0.26,19.44,68,29.79,6.2
"226",2023-05-29 07:30:00,5.25,0.26,18.43,68.1,30.21,6.2
"227",2023-05-29 07:45:00,5.16,0.24,19.66,68.2,32.15,6.3
"228",2023-05-29 08:00:00,5.07,0.24,18.02,68.2,32.36,6.3
"229",2023-05-29 08:15:00,4.97,0.23,17.74,68.3,31.63,6.3
"230",2023-05-29 08:30:00,4.89,0.22,18.54,68.3,31.38,6.4
"231",2023-05-29 08:45:00,4.82,0.22,18.97,68.4,30.05,6.5
"232",2023-05-29 09:00:00,4.73,0.22,18.9,68.5,30.76,6.5
"233",2023-05-29 09:15:00,4.68,0.23,19.24,68.6,31.23,6.6
"234",2023-05-29 09:30:00,4.62,0.23,20.27,68.6,31.32,6.7
"235",2023-05-29 09:45:00,4.58,0.23,20.44,68.7,29.9,6.6
"236",2023-05-29 10:00:00,4.57,0.21,20.65,68.8,30.26,6.4
"237",2023-05-29 10:15:00,4.6,0.21,18.18,68.8,34.46,6.6
"238",2023-05-29 10:30:00,4.72,0.18,21.42,68.9,31.04,6.6
"239",2023-05-29 10:45:00,4.89,0.19,20.7,69,30.53,6.6
"240",2023-05-29 11:00:00,5.08,0.18,20.05,69.2,34.79,6.7
"241",2023-05-29 11:15:00,5.27,0.17,21.11,69.2,30.27,6.8
"242",2023-05-29 11:30:00,5.43,0.15,21.6,69.3,32.41,6.3
"243",2023-05-29 11:45:00,5.59,0.16,21,69.4,30.82,6.3
"244",2023-05-29 12:00:00,5.7,0.13,20.23,69.5,30.47,6.7
"245",2023-05-29 12:15:00,5.79,0.11,19.92,69.5,32.29,6.3
"246",2023-05-29 12:30:00,5.88,0.08,20.24,69.8,30.09,6.8
"247",2023-05-29 12:45:00,5.93,0.03,20.59,70.2,30.18,7.2
"248",2023-05-29 13:00:00,6.01,-0.01,23.16,70.5,32.95,7.6
"249",2023-05-29 13:15:00,6.03,-0.02,22.54,70.6,28.08,7.6
"250",2023-05-29 13:30:00,6.06,-0.03,24.64,70.8,30.76,7.7
"251",2023-05-29 13:45:00,6.06,-0.03,24.34,70.9,27.99,7.8
"252",2023-05-29 14:00:00,6.05,-0.02,26.07,71.1,30.24,7.8
"253",2023-05-29 14:15:00,6.03,-0.02,21.57,71.1,27.59,7.8
"254",2023-05-29 14:30:00,5.98,0,24.55,71,32.08,7.4
"255",2023-05-29 14:45:00,5.93,0.02,21.7,71,28.69,7.5
"256",2023-05-29 15:00:00,5.88,0.05,23.07,70.9,33.4,6.5
"257",2023-05-29 15:15:00,5.8,0.07,21.43,70.8,28.11,7
"258",2023-05-29 15:30:00,5.72,0.11,21.59,71,31.39,7.1
"259",2023-05-29 15:45:00,5.62,0.12,22.49,70.8,30.28,7.1
"260",2023-05-29 16:00:00,5.54,0.14,20.44,70.8,27.24,7.2
"261",2023-05-29 16:15:00,5.45,0.15,21.94,70.7,34.09,7.1
"262",2023-05-29 16:30:00,5.36,0.15,19.5,70.7,27.39,7.1
"263",2023-05-29 16:45:00,5.26,0.14,20.09,70.6,28.09,7.1
"264",2023-05-29 17:00:00,5.16,0.16,19.32,70.5,30.05,7
"265",2023-05-29 17:15:00,5.07,0.16,20.07,70.5,29.74,7.1
"266",2023-05-29 17:30:00,4.99,0.16,20.38,70.5,27.37,7
"267",2023-05-29 17:45:00,4.91,0.16,20.26,70.5,29.11,7
"268",2023-05-29 18:00:00,4.81,0.16,25.69,70.5,35.63,6.8
"269",2023-05-29 18:15:00,4.73,0.16,21.17,70.4,29.92,7.1
"270",2023-05-29 18:30:00,4.65,0.16,22.29,70.4,30,7.3
"271",2023-05-29 18:45:00,4.56,0.16,22.3,70.4,29.96,7.4
"272",2023-05-29 19:00:00,4.48,0.17,24.39,70.4,31.94,7.6
"273",2023-05-29 19:15:00,4.39,0.16,27.74,70.3,33.71,7.5
"274",2023-05-29 19:30:00,4.32,0.16,25.39,70.3,31.67,7.4
"275",2023-05-29 19:45:00,4.23,0.17,26.93,70.2,33.45,7.6
"276",2023-05-29 20:00:00,4.16,0.17,26.59,70.2,32.35,7.4
"277",2023-05-29 20:15:00,4.1,0.16,29.32,70.2,33.37,7.6
"278",2023-05-29 20:30:00,4.05,0.15,21.96,70.1,32.44,7.5
"279",2023-05-29 20:45:00,4.03,0.14,24.73,70.1,31.91,7.5
"280",2023-05-29 21:00:00,4.07,0.14,26.78,70.1,35.9,7.5
"281",2023-05-29 21:15:00,4.17,0.13,22.24,70,33.84,7.5
"282",2023-05-29 21:30:00,4.36,0.12,25.74,70,33.75,7.4
"283",2023-05-29 21:45:00,4.57,0.11,24.54,69.9,34.54,7.3
"284",2023-05-29 22:00:00,4.75,0.1,24.91,69.9,35.34,7.2
"285",2023-05-29 22:15:00,4.92,0.1,26.47,69.8,35.75,7.3
"286",2023-05-29 22:30:00,5.09,0.09,24.79,69.8,37.38,7.3
"287",2023-05-29 22:45:00,5.27,0.09,24.29,69.7,33.64,7.2
"288",2023-05-29 23:00:00,5.44,0.06,26.31,69.7,35.43,7.2
"289",2023-05-29 23:15:00,5.61,0.06,23.27,69.7,32.51,7.1
"290",2023-05-29 23:30:00,5.74,0,22.2,69.6,32.31,6.8
"291",2023-05-29 23:45:00,5.87,-0.06,24.88,69.5,34.66,7
"292",2023-05-30,6,-0.1,30.31,69.6,30.89,7.3
"293",2023-05-30 00:15:00,6.13,-0.15,22.92,69.5,31.16,7.4
"294",2023-05-30 00:30:00,6.26,-0.19,27.23,69.5,31.66,7.3
"295",2023-05-30 00:45:00,6.37,-0.2,22.7,69.3,31.21,6.9
"296",2023-05-30 01:00:00,6.48,-0.24,23.58,69.2,31.37,6.9
"297",2023-05-30 01:15:00,6.59,-0.28,21.92,69.1,33.06,6.8
"298",2023-05-30 01:30:00,6.68,-0.33,18.7,69,33.24,6.8
"299",2023-05-30 01:45:00,6.76,-0.37,20.67,68.8,33.51,6.7
"300",2023-05-30 02:00:00,6.83,-0.39,19.77,68.6,33.34,6.6
"301",2023-05-30 02:15:00,6.89,-0.39,17.96,68.5,34.41,6.6
"302",2023-05-30 02:30:00,6.93,-0.4,18.6,68.5,32.54,6.6
"303",2023-05-30 02:45:00,6.96,-0.39,17.91,68.4,30.9,6.6
"304",2023-05-30 03:00:00,6.97,-0.38,19.32,68.4,31.75,6.6
"305",2023-05-30 03:15:00,6.95,-0.33,18.53,68.4,34.79,6.6
"306",2023-05-30 03:30:00,6.93,-0.29,17.76,68.4,38.91,6.6
"307",2023-05-30 03:45:00,6.87,-0.22,18.7,68.4,33.82,6.6
"308",2023-05-30 04:00:00,6.78,-0.15,18.01,68.4,35.94,6.5
"309",2023-05-30 04:15:00,6.68,-0.07,19.57,68.5,32.53,6.4
"310",2023-05-30 04:30:00,6.6,0.04,18.29,68.4,38.12,6.2
"311",2023-05-30 04:45:00,6.51,0.09,20.81,68.4,32.89,6.1
"312",2023-05-30 05:00:00,6.42,0.15,14.88,68.3,31.52,6.4
"313",2023-05-30 05:15:00,6.33,0.2,14.68,68.3,30.82,6.3
"314",2023-05-30 05:30:00,6.24,0.25,15.48,68.2,33.51,6.2
"315",2023-05-30 05:45:00,6.15,0.26,21.52,68.2,33.96,6.1
"316",2023-05-30 06:00:00,6.05,0.26,25.39,68.1,34.57,6
"317",2023-05-30 06:15:00,5.94,0.27,16.87,68.1,35.51,6
"318",2023-05-30 06:30:00,5.84,0.26,17.08,68,34.53,6
"319",2023-05-30 06:45:00,5.74,0.26,15.46,68,35.07,6.1
"320",2023-05-30 07:00:00,5.63,0.25,15.15,68,34.25,6
"321",2023-05-30 07:15:00,5.52,0.25,16.06,67.9,34.88,6
"322",2023-05-30 07:30:00,5.41,0.26,14.81,67.9,35.96,6.1
"323",2023-05-30 07:45:00,5.31,0.26,16.38,67.9,34.05,6
"324",2023-05-30 08:00:00,5.19,0.26,16.51,68,34.44,6.1
"325",2023-05-30 08:15:00,5.09,0.26,18.84,68,33.85,6.1
"326",2023-05-30 08:30:00,4.99,0.26,18.1,68.1,35.08,6.2
"327",2023-05-30 08:45:00,4.87,0.26,16.77,68.1,34.91,6.2
"328",2023-05-30 09:00:00,4.77,0.27,17.62,68.3,34.58,6.3
"329",2023-05-30 09:15:00,4.67,0.25,16.96,68.4,32.24,6.3
"330",2023-05-30 09:30:00,4.58,NA,0,32,0,0
"331",2023-05-30 09:45:00,4.5,NA,20.09,68.6,34.02,6.4
"332",2023-05-30 10:00:00,4.42,0.25,16.51,68.7,35.6,6.4
"333",2023-05-30 10:15:00,4.35,0.25,17.16,68.8,36.18,6.4
"334",2023-05-30 10:30:00,4.27,0.26,20.43,68.9,35.77,6.6
"335",2023-05-30 10:45:00,4.23,0.26,18.15,69,34.39,6.6
"336",2023-05-30 11:00:00,4.21,0.25,18.05,69.2,34.89,6.6
"337",2023-05-30 11:15:00,4.27,0.23,17.85,69.2,34.13,6.6
"338",2023-05-30 11:30:00,4.44,0.24,17.38,69.3,36.42,6.4
"339",2023-05-30 11:45:00,4.67,0.24,20.15,69.4,34.47,6.3
"340",2023-05-30 12:00:00,4.9,0.21,17.97,69.4,36.15,6.5
"341",2023-05-30 12:15:00,5.12,0.19,18.07,69.5,34.85,6.5
"342",2023-05-30 12:30:00,5.29,0.18,17.74,69.5,33.97,6.5
"343",2023-05-30 12:45:00,5.47,0.16,21.01,69.6,35.61,6.5
"344",2023-05-30 13:00:00,5.6,0.14,18.3,69.6,33.66,6.5
"345",2023-05-30 13:15:00,5.74,0.14,23.63,69.7,36.82,6.2
"346",2023-05-30 13:30:00,5.85,0.13,17.08,69.8,32.88,6.1
"347",2023-05-30 13:45:00,5.96,0.11,21.28,69.8,33.05,6.5
"348",2023-05-30 14:00:00,6.05,0.08,19.27,70,31.89,6.7
"349",2023-05-30 14:15:00,6.12,0.04,19.64,70.3,29.95,6.8
"350",2023-05-30 14:30:00,6.16,0,20.49,70.8,31.45,7.2
"351",2023-05-30 14:45:00,6.2,-0.03,22.92,70.8,31.41,7.2
"352",2023-05-30 15:00:00,6.2,-0.03,21.59,71.1,31,7.7
"353",2023-05-30 15:15:00,6.17,-0.01,22.42,71.2,30.25,7.7
