"","t","do"
"1",2025-07-12 20:15:00,5.2
"2",2025-07-12 20:30:00,5.3
"3",2025-07-12 20:45:00,5.7
"4",2025-07-12 21:00:00,6
"5",2025-07-12 21:15:00,6
"6",2025-07-12 21:30:00,6
"7",2025-07-12 21:45:00,6
"8",2025-07-12 22:00:00,6
"9",2025-07-12 22:15:00,6
"10",2025-07-12 22:30:00,6.1
"11",2025-07-12 22:45:00,6.2
"12",2025-07-12 23:00:00,6.2
"13",2025-07-12 23:15:00,6.1
"14",2025-07-12 23:30:00,6
"15",2025-07-12 23:45:00,5.9
"16",2025-07-13 00:00:00,6.2
"17",2025-07-13 00:15:00,6.2
"18",2025-07-13 00:30:00,6.1
"19",2025-07-13 00:45:00,6
"20",2025-07-13 01:00:00,6
"21",2025-07-13 01:15:00,5.9
"22",2025-07-13 01:30:00,5.8
"23",2025-07-13 01:45:00,5.8
"24",2025-07-13 02:00:00,5.7
"25",2025-07-13 02:15:00,5.7
"26",2025-07-13 02:30:00,5.7
"27",2025-07-13 02:45:00,5.7
"28",2025-07-13 03:00:00,5.6
"29",2025-07-13 03:15:00,5.6
"30",2025-07-13 03:30:00,5.5
"31",2025-07-13 03:45:00,5.2
"32",2025-07-13 04:00:00,5.2
"33",2025-07-13 04:15:00,5.2
"34",2025-07-13 04:30:00,5.3
"35",2025-07-13 04:45:00,5.5
"36",2025-07-13 05:00:00,5.6
"37",2025-07-13 05:15:00,5.7
"38",2025-07-13 05:30:00,5.8
"39",2025-07-13 05:45:00,5.9
"40",2025-07-13 06:00:00,6
"41",2025-07-13 06:15:00,6.1
"42",2025-07-13 06:30:00,6.2
"43",2025-07-13 06:45:00,6.2
"44",2025-07-13 07:15:00,6.2
"45",2025-07-13 07:30:00,6.3
"46",2025-07-13 07:45:00,6.2
"47",2025-07-13 08:00:00,6.2
"48",2025-07-13 08:15:00,6.1
"49",2025-07-13 08:30:00,6
"50",2025-07-13 08:45:00,6
"51",2025-07-13 09:15:00,6
"52",2025-07-13 09:30:00,5.9
"53",2025-07-13 09:45:00,5.8
"54",2025-07-13 10:00:00,5.7
"55",2025-07-13 10:15:00,5.9
"56",2025-07-13 10:30:00,6
"57",2025-07-13 10:45:00,5.9
"58",2025-07-13 11:00:00,5.9
"59",2025-07-13 11:30:00,5.8
"60",2025-07-13 11:45:00,5.9
"61",2025-07-13 12:00:00,5.9
"62",2025-07-13 12:15:00,5.9
"63",2025-07-13 12:30:00,5.9
"64",2025-07-13 12:45:00,5.8
"65",2025-07-13 13:00:00,5.8
"66",2025-07-13 13:15:00,5.8
"67",2025-07-13 13:30:00,5.9
"68",2025-07-13 13:45:00,5.8
"69",2025-07-13 14:00:00,5.9
"70",2025-07-13 14:15:00,5.7
"71",2025-07-13 14:30:00,5.7
"72",2025-07-13 14:45:00,5.9
"73",2025-07-13 15:15:00,5.8
"74",2025-07-13 15:30:00,5.8
"75",2025-07-13 15:45:00,5.8
"76",2025-07-13 16:00:00,5.8
"77",2025-07-13 16:15:00,5.8
"78",2025-07-13 16:30:00,5.9
"79",2025-07-13 16:45:00,5.8
"80",2025-07-13 17:00:00,5.8
"81",2025-07-13 17:15:00,5.8
"82",2025-07-13 17:30:00,5.7
"83",2025-07-13 17:45:00,5.7
"84",2025-07-13 18:00:00,5.7
"85",2025-07-13 18:15:00,5.6
"86",2025-07-13 18:30:00,5.6
"87",2025-07-13 18:45:00,5.5
"88",2025-07-13 19:00:00,5.5
"89",2025-07-13 19:15:00,5.3
"90",2025-07-13 19:30:00,5.2
"91",2025-07-13 19:45:00,5
"92",2025-07-13 20:00:00,5.1
"93",2025-07-13 20:15:00,4.9
"94",2025-07-13 20:30:00,4.8
"95",2025-07-13 20:45:00,4.5
"96",2025-07-13 21:00:00,4.8
"97",2025-07-13 21:15:00,5
"98",2025-07-13 21:30:00,5.1
"99",2025-07-13 21:45:00,5.4
"100",2025-07-13 22:00:00,5.6
"101",2025-07-13 22:15:00,5.7
"102",2025-07-13 22:30:00,5.8
"103",2025-07-13 22:45:00,5.9
"104",2025-07-13 23:00:00,5.9
"105",2025-07-13 23:15:00,5.9
"106",2025-07-13 23:30:00,5.9
"107",2025-07-13 23:45:00,5.8
"108",2025-07-14 00:00:00,5.6
"109",2025-07-14 00:15:00,6
"110",2025-07-14 00:30:00,6
"111",2025-07-14 00:45:00,5.9
"112",2025-07-14 01:00:00,5.9
"113",2025-07-14 01:15:00,5.8
"114",2025-07-14 01:30:00,5.7
"115",2025-07-14 01:45:00,5.7
"116",2025-07-14 02:00:00,5.6
"117",2025-07-14 02:15:00,5.6
"118",2025-07-14 02:30:00,5.4
"119",2025-07-14 02:45:00,5.5
"120",2025-07-14 03:15:00,5.3
"121",2025-07-14 03:30:00,5.3
"122",2025-07-14 03:45:00,5.2
"123",2025-07-14 04:00:00,5.1
"124",2025-07-14 04:15:00,5.1
"125",2025-07-14 04:30:00,5
"126",2025-07-14 04:45:00,5
"127",2025-07-14 05:00:00,5
"128",2025-07-14 05:15:00,4.8
"129",2025-07-14 05:30:00,4.7
"130",2025-07-14 05:45:00,4.3
"131",2025-07-14 06:00:00,4.7
"132",2025-07-14 06:15:00,4.8
"133",2025-07-14 06:30:00,5.1
"134",2025-07-14 06:45:00,5.2
"135",2025-07-14 07:00:00,5.4
"136",2025-07-14 07:15:00,5.5
"137",2025-07-14 07:30:00,5.6
"138",2025-07-14 07:45:00,5.7
"139",2025-07-14 08:00:00,5.8
"140",2025-07-14 08:15:00,5.9
"141",2025-07-14 08:30:00,6
"142",2025-07-14 08:45:00,6
"143",2025-07-14 09:15:00,6.1
"144",2025-07-14 09:30:00,6
"145",2025-07-14 09:45:00,6
"146",2025-07-14 10:00:00,5.9
"147",2025-07-14 10:15:00,5.6
"148",2025-07-14 10:30:00,5.6
"149",2025-07-14 10:45:00,5.7
"150",2025-07-14 11:15:00,5.8
"151",2025-07-14 11:30:00,5.8
"152",2025-07-14 11:45:00,5.7
"153",2025-07-14 12:00:00,5.9
"154",2025-07-14 12:15:00,5.9
"155",2025-07-14 12:30:00,5.9
"156",2025-07-14 12:45:00,5.9
"157",2025-07-14 13:00:00,5.9
"158",2025-07-14 13:15:00,5.9
"159",2025-07-14 13:30:00,5.9
"160",2025-07-14 13:45:00,5.8
"161",2025-07-14 14:00:00,5.8
"162",2025-07-14 14:15:00,5.7
"163",2025-07-14 14:30:00,5.5
"164",2025-07-14 14:45:00,5.5
"165",2025-07-14 15:00:00,5.6
"166",2025-07-14 15:15:00,5.6
"167",2025-07-14 15:30:00,5.7
"168",2025-07-14 15:45:00,5.6
"169",2025-07-14 16:00:00,5.7
"170",2025-07-14 16:15:00,5.6
"171",2025-07-14 16:30:00,5.6
"172",2025-07-14 16:45:00,5.6
"173",2025-07-14 17:00:00,5.6
"174",2025-07-14 17:15:00,5.5
"175",2025-07-14 17:30:00,5.4
"176",2025-07-14 17:45:00,5.2
"177",2025-07-14 18:00:00,5.2
"178",2025-07-14 18:15:00,5.4
"179",2025-07-14 18:30:00,5.3
"180",2025-07-14 18:45:00,5.3
"181",2025-07-14 19:15:00,5.2
"182",2025-07-14 19:30:00,5.2
"183",2025-07-14 19:45:00,5
"184",2025-07-14 20:00:00,5
"185",2025-07-14 20:15:00,5.1
"186",2025-07-14 20:30:00,4.9
"187",2025-07-14 20:45:00,4.7
"188",2025-07-14 21:15:00,5.7
"189",2025-07-14 21:30:00,5.8
"190",2025-07-14 21:45:00,5.9
"191",2025-07-14 22:00:00,5.9
"192",2025-07-14 22:15:00,5.9
"193",2025-07-14 22:30:00,6
"194",2025-07-14 22:45:00,6.1
"195",2025-07-14 23:00:00,6.2
"196",2025-07-14 23:15:00,6.3
"197",2025-07-14 23:30:00,6.3
"198",2025-07-14 23:45:00,6.3
"199",2025-07-15 00:00:00,6.3
"200",2025-07-15 00:15:00,6.2
"201",2025-07-15 00:30:00,6.2
"202",2025-07-15 00:45:00,6.1
"203",2025-07-15 01:15:00,6.2
"204",2025-07-15 01:30:00,6.2
"205",2025-07-15 01:45:00,6.2
"206",2025-07-15 02:00:00,6.2
"207",2025-07-15 02:15:00,6.2
"208",2025-07-15 02:30:00,6.2
"209",2025-07-15 02:45:00,6.1
"210",2025-07-15 03:15:00,6.1
"211",2025-07-15 03:30:00,6
"212",2025-07-15 03:45:00,6.1
"213",2025-07-15 04:00:00,6
"214",2025-07-15 04:15:00,6
"215",2025-07-15 04:30:00,6
"216",2025-07-15 04:45:00,5.9
"217",2025-07-15 05:00:00,5.9
"218",2025-07-15 05:15:00,5.8
"219",2025-07-15 05:30:00,5.8
"220",2025-07-15 05:45:00,5.8
"221",2025-07-15 06:00:00,5.6
"222",2025-07-15 06:15:00,5.7
"223",2025-07-15 06:30:00,5.5
"224",2025-07-15 06:45:00,5.6
"225",2025-07-15 07:15:00,5.8
"226",2025-07-15 07:30:00,5.8
"227",2025-07-15 07:45:00,6.1
"228",2025-07-15 08:00:00,6
"229",2025-07-15 09:45:00,6.3
"230",2025-07-15 10:00:00,6.3
"231",2025-07-15 10:15:00,6.2
"232",2025-07-15 10:30:00,6.1
"233",2025-07-15 10:45:00,6.1
"234",2025-07-15 11:00:00,6
"235",2025-07-15 11:15:00,6
"236",2025-07-15 11:30:00,6
"237",2025-07-15 11:45:00,6
"238",2025-07-15 12:00:00,5.8
"239",2025-07-15 12:15:00,5.9
"240",2025-07-15 12:30:00,5.8
"241",2025-07-15 12:45:00,6
"242",2025-07-15 13:15:00,6.1
"243",2025-07-15 13:30:00,6.2
"244",2025-07-15 13:45:00,6.2
"245",2025-07-15 14:00:00,6.2
"246",2025-07-15 14:15:00,6.2
"247",2025-07-15 14:30:00,6.2
"248",2025-07-15 14:45:00,6.2
"249",2025-07-15 15:00:00,6.1
"250",2025-07-15 15:15:00,6.3
"251",2025-07-15 15:30:00,6.2
"252",2025-07-15 15:45:00,6.2
"253",2025-07-15 16:00:00,6.2
"254",2025-07-15 16:15:00,6.1
"255",2025-07-15 16:30:00,6.3
"256",2025-07-15 16:45:00,6.3
"257",2025-07-15 17:00:00,6.3
"258",2025-07-15 17:15:00,6.3
"259",2025-07-15 17:30:00,6.4
"260",2025-07-15 17:45:00,6.3
"261",2025-07-15 18:00:00,6.2
"262",2025-07-15 18:15:00,6.3
"263",2025-07-15 18:30:00,6.3
"264",2025-07-15 18:45:00,6.3
"265",2025-07-15 19:15:00,6.2
"266",2025-07-15 19:30:00,6.2
"267",2025-07-15 19:45:00,6.2
"268",2025-07-15 20:00:00,6.1
"269",2025-07-15 20:15:00,6.2
"270",2025-07-15 20:30:00,6
"271",2025-07-15 20:45:00,6
"272",2025-07-15 21:00:00,6
"273",2025-07-15 21:15:00,6.1
"274",2025-07-15 21:30:00,6.3
"275",2025-07-15 21:45:00,6.5
"276",2025-07-15 22:00:00,6.5
"277",2025-07-15 22:15:00,6.6
"278",2025-07-15 22:30:00,6.6
"279",2025-07-15 22:45:00,6.7
"280",2025-07-15 23:00:00,6.7
"281",2025-07-15 23:15:00,6.8
"282",2025-07-15 23:30:00,6.8
"283",2025-07-15 23:45:00,6.8
"284",2025-07-16 00:00:00,6.8
"285",2025-07-16 00:15:00,6.8
"286",2025-07-16 00:30:00,6.7
"287",2025-07-16 00:45:00,6.7
"288",2025-07-16 01:00:00,6.6
"289",2025-07-16 01:15:00,6.6
"290",2025-07-16 01:30:00,6.5
"291",2025-07-16 01:45:00,6.3
"292",2025-07-16 02:00:00,6.4
"293",2025-07-16 02:15:00,6.6
"294",2025-07-16 02:30:00,6.5
"295",2025-07-16 02:45:00,6.6
"296",2025-07-16 03:00:00,6.6
"297",2025-07-16 03:15:00,6.6
"298",2025-07-16 03:30:00,6.6
"299",2025-07-16 03:45:00,6.6
"300",2025-07-16 04:00:00,6.6
"301",2025-07-16 04:15:00,6.6
"302",2025-07-16 04:30:00,6.5
"303",2025-07-16 04:45:00,6.5
"304",2025-07-16 05:15:00,6.5
"305",2025-07-16 05:30:00,6.5
"306",2025-07-16 05:45:00,6.4
"307",2025-07-16 06:00:00,6.4
"308",2025-07-16 06:15:00,6.4
"309",2025-07-16 06:30:00,6.4
"310",2025-07-16 06:45:00,6.4
"311",2025-07-16 07:00:00,6.2
"312",2025-07-16 07:15:00,6.3
"313",2025-07-16 07:30:00,6.3
"314",2025-07-16 07:45:00,6.2
"315",2025-07-16 08:00:00,6.1
"316",2025-07-16 08:15:00,6.1
"317",2025-07-16 08:30:00,6.3
"318",2025-07-16 08:45:00,6.4
"319",2025-07-16 09:00:00,6.4
"320",2025-07-16 09:15:00,6.4
"321",2025-07-16 09:30:00,6.4
"322",2025-07-16 09:45:00,6.5
"323",2025-07-16 10:00:00,6.5
"324",2025-07-16 10:15:00,6.5
"325",2025-07-16 10:30:00,6.6
"326",2025-07-16 10:45:00,6.6
"327",2025-07-16 11:00:00,6.6
"328",2025-07-16 11:15:00,6.7
"329",2025-07-16 11:30:00,6.7
"330",2025-07-16 11:45:00,6.8
"331",2025-07-16 12:00:00,6.8
"332",2025-07-16 12:15:00,6.7
"333",2025-07-16 12:30:00,6.7
"334",2025-07-16 12:45:00,6.8
"335",2025-07-16 13:00:00,6.6
"336",2025-07-16 13:15:00,6.7
"337",2025-07-16 13:30:00,6.5
"338",2025-07-16 13:45:00,6.7
"339",2025-07-16 14:00:00,6.8
"340",2025-07-16 14:15:00,6.8
"341",2025-07-16 14:30:00,6.7
"342",2025-07-16 14:45:00,6.8
"343",2025-07-16 15:00:00,6.8
"344",2025-07-16 15:15:00,6.8
"345",2025-07-16 15:30:00,6.7
"346",2025-07-16 15:45:00,6.7
"347",2025-07-16 16:00:00,6.7
"348",2025-07-16 16:15:00,6.7
"349",2025-07-16 16:30:00,6.6
"350",2025-07-16 16:45:00,6.6
"351",2025-07-16 17:00:00,6.7
"352",2025-07-16 17:15:00,6.6
"353",2025-07-16 17:30:00,6.6
"354",2025-07-16 17:45:00,6.6
"355",2025-07-16 18:00:00,6.5
"356",2025-07-16 18:15:00,6.5
"357",2025-07-16 18:30:00,6.4
"358",2025-07-16 18:45:00,6.5
"359",2025-07-16 19:00:00,6.3
"360",2025-07-16 19:15:00,6.2
"361",2025-07-16 19:30:00,6.5
"362",2025-07-16 19:45:00,6.4
"363",2025-07-16 20:00:00,6.3
"364",2025-07-16 20:15:00,6.2
"365",2025-07-16 20:30:00,6.3
"366",2025-07-16 20:45:00,6.2
"367",2025-07-16 21:00:00,6.1
"368",2025-07-16 21:15:00,6.2
"369",2025-07-16 21:30:00,6.4
"370",2025-07-16 21:45:00,6.6
"371",2025-07-16 22:00:00,6.8
"372",2025-07-16 22:15:00,6.8
"373",2025-07-16 22:30:00,6.9
"374",2025-07-16 22:45:00,7
"375",2025-07-16 23:00:00,7.1
"376",2025-07-16 23:15:00,7.2
"377",2025-07-16 23:30:00,7.2
"378",2025-07-16 23:45:00,7.2
"379",2025-07-17 00:00:00,7.2
"380",2025-07-17 00:15:00,7.2
"381",2025-07-17 00:30:00,7.2
"382",2025-07-17 00:45:00,7.2
"383",2025-07-17 01:15:00,7.1
"384",2025-07-17 01:30:00,7.1
"385",2025-07-17 01:45:00,7
"386",2025-07-17 02:00:00,7
"387",2025-07-17 02:15:00,6.8
"388",2025-07-17 02:30:00,6.8
"389",2025-07-17 02:45:00,6.8
"390",2025-07-17 03:00:00,7
"391",2025-07-17 03:15:00,7
"392",2025-07-17 03:30:00,7
"393",2025-07-17 03:45:00,7
"394",2025-07-17 04:00:00,7
"395",2025-07-17 04:15:00,7
"396",2025-07-17 04:30:00,7
"397",2025-07-17 04:45:00,7
"398",2025-07-17 05:15:00,6.9
"399",2025-07-17 07:30:00,6.9
"400",2025-07-17 08:15:00,6.8
"401",2025-07-17 08:30:00,6.8
"402",2025-07-17 08:45:00,6.7
"403",2025-07-17 09:00:00,6.8
"404",2025-07-17 09:15:00,6.8
"405",2025-07-17 09:30:00,6.7
"406",2025-07-17 09:45:00,6.4
"407",2025-07-17 10:00:00,6.6
"408",2025-07-17 10:15:00,6.4
"409",2025-07-17 10:30:00,6.7
"410",2025-07-17 10:45:00,6.9
"411",2025-07-17 11:00:00,6.9
"412",2025-07-17 11:15:00,6.8
"413",2025-07-17 11:30:00,7
"414",2025-07-17 11:45:00,7.1
"415",2025-07-17 12:00:00,6.8
"416",2025-07-17 12:15:00,6.8
"417",2025-07-17 12:30:00,6.8
"418",2025-07-17 12:45:00,6.5
"419",2025-07-17 13:00:00,6.4
"420",2025-07-17 13:15:00,6.7
"421",2025-07-17 13:30:00,6.8
"422",2025-07-17 13:45:00,6.8
"423",2025-07-17 14:00:00,7.3
"424",2025-07-17 14:15:00,7.3
"425",2025-07-17 14:30:00,6.8
"426",2025-07-17 14:45:00,7.1
"427",2025-07-17 15:00:00,6.5
"428",2025-07-17 15:15:00,6.8
"429",2025-07-17 15:30:00,7
"430",2025-07-17 15:45:00,7
"431",2025-07-17 16:00:00,6.4
"432",2025-07-17 16:15:00,6.8
"433",2025-07-17 16:30:00,6.5
"434",2025-07-17 16:45:00,7
"435",2025-07-17 17:00:00,6.7
"436",2025-07-17 17:15:00,7.3
"437",2025-07-17 17:30:00,7.4
"438",2025-07-17 17:45:00,7.3
"439",2025-07-17 18:00:00,7.3
"440",2025-07-17 18:15:00,7.1
"441",2025-07-17 18:30:00,7.1
"442",2025-07-17 18:45:00,7
"443",2025-07-17 19:00:00,6.9
"444",2025-07-17 19:15:00,7.2
"445",2025-07-17 19:30:00,7.1
"446",2025-07-17 19:45:00,7.2
"447",2025-07-17 20:00:00,7
"448",2025-07-17 20:15:00,6.9
"449",2025-07-17 20:30:00,6.9
"450",2025-07-17 20:45:00,6.9
"451",2025-07-17 21:00:00,7
"452",2025-07-17 21:15:00,6.7
"453",2025-07-17 21:30:00,7
"454",2025-07-17 21:45:00,7.2
"455",2025-07-17 22:00:00,7.3
"456",2025-07-17 22:15:00,7.3
"457",2025-07-17 22:30:00,7.2
"458",2025-07-17 22:45:00,7.1
"459",2025-07-17 23:00:00,7.1
"460",2025-07-17 23:15:00,7.3
"461",2025-07-17 23:30:00,7.3
"462",2025-07-17 23:45:00,7.4
"463",2025-07-18 00:00:00,7.4
"464",2025-07-18 00:15:00,7.3
"465",2025-07-18 00:30:00,7.3
"466",2025-07-18 00:45:00,7.3
"467",2025-07-18 01:00:00,7.2
"468",2025-07-18 01:15:00,7.2
"469",2025-07-18 01:30:00,7.2
"470",2025-07-18 01:45:00,7.1
"471",2025-07-18 02:00:00,7
"472",2025-07-18 02:15:00,7
