"","t","do"
"1",2025-09-09 09:15:00,2.4
"2",2025-09-09 09:30:00,2.7
"3",2025-09-09 09:45:00,2.8
"4",2025-09-09 10:00:00,2.7
"5",2025-09-09 10:15:00,2.7
"6",2025-09-09 10:30:00,2.5
"7",2025-09-09 10:45:00,2.3
"8",2025-09-09 11:00:00,2.2
"9",2025-09-09 11:15:00,2.1
"10",2025-09-09 11:30:00,2.2
"11",2025-09-09 11:45:00,2.1
"12",2025-09-09 12:00:00,2.1
"13",2025-09-09 12:15:00,2
"14",2025-09-09 12:30:00,2.1
"15",2025-09-09 12:45:00,2.2
"16",2025-09-09 13:00:00,2.3
"17",2025-09-09 13:15:00,2.3
"18",2025-09-09 13:30:00,2.3
"19",2025-09-09 13:45:00,2.4
"20",2025-09-09 14:00:00,2.6
"21",2025-09-09 14:15:00,2.6
"22",2025-09-09 14:30:00,2.8
"23",2025-09-09 14:45:00,2.7
"24",2025-09-09 15:00:00,2.8
"25",2025-09-09 15:15:00,2.7
"26",2025-09-09 15:30:00,2.9
"27",2025-09-09 15:45:00,2.8
"28",2025-09-09 16:00:00,2.9
"29",2025-09-09 16:15:00,3
"30",2025-09-09 16:30:00,3
"31",2025-09-09 16:45:00,3.1
"32",2025-09-09 17:00:00,3
"33",2025-09-09 17:15:00,2.9
"34",2025-09-09 17:30:00,2.8
"35",2025-09-09 17:45:00,2.7
"36",2025-09-09 18:00:00,2.6
"37",2025-09-09 18:15:00,2.8
"38",2025-09-09 18:30:00,2.7
"39",2025-09-09 18:45:00,2.7
"40",2025-09-09 19:00:00,2.3
"41",2025-09-09 19:15:00,2.4
"42",2025-09-09 19:30:00,2.4
"43",2025-09-09 19:45:00,2.5
"44",2025-09-09 20:00:00,2.6
"45",2025-09-09 20:15:00,2.9
"46",2025-09-09 20:30:00,3.1
"47",2025-09-09 20:45:00,3.3
"48",2025-09-09 21:00:00,3.5
"49",2025-09-09 21:15:00,3.5
"50",2025-09-09 21:30:00,3.5
"51",2025-09-09 21:45:00,3.5
"52",2025-09-09 22:00:00,3.5
"53",2025-09-09 22:15:00,3.6
"54",2025-09-09 22:30:00,3.6
"55",2025-09-09 22:45:00,3.5
"56",2025-09-09 23:00:00,3.2
"57",2025-09-09 23:15:00,3
"58",2025-09-09 23:30:00,3
"59",2025-09-09 23:45:00,2.8
"60",2025-09-10 00:00:00,2.7
"61",2025-09-10 00:15:00,2.6
"62",2025-09-10 00:30:00,2.3
"63",2025-09-10 00:45:00,2.4
"64",2025-09-10 01:00:00,2.3
"65",2025-09-10 01:15:00,2.3
"66",2025-09-10 01:30:00,2.2
"67",2025-09-10 01:45:00,2.2
"68",2025-09-10 02:00:00,2.2
"69",2025-09-10 02:15:00,2.3
"70",2025-09-10 02:30:00,2.4
"71",2025-09-10 02:45:00,2.4
"72",2025-09-10 03:00:00,2.5
"73",2025-09-10 03:15:00,2.6
"74",2025-09-10 03:30:00,2.5
"75",2025-09-10 03:45:00,2.6
"76",2025-09-10 04:00:00,2.6
"77",2025-09-10 04:15:00,2.6
"78",2025-09-10 04:30:00,2.6
"79",2025-09-10 04:45:00,2.7
"80",2025-09-10 05:00:00,2.6
"81",2025-09-10 05:15:00,2.6
"82",2025-09-10 05:30:00,2.5
"83",2025-09-10 05:45:00,2.4
"84",2025-09-10 06:00:00,2.2
"85",2025-09-10 06:15:00,2.2
"86",2025-09-10 06:30:00,2
"87",2025-09-10 06:45:00,1.7
"88",2025-09-10 07:00:00,1.7
"89",2025-09-10 07:15:00,1.5
"90",2025-09-10 07:30:00,1.6
"91",2025-09-10 07:45:00,1.4
"92",2025-09-10 08:00:00,1.2
"93",2025-09-10 08:15:00,1.2
"94",2025-09-10 08:30:00,1.5
"95",2025-09-10 08:45:00,1.6
"96",2025-09-10 09:00:00,2
"97",2025-09-10 09:15:00,2.4
"98",2025-09-10 09:30:00,2.5
"99",2025-09-10 09:45:00,2.5
"100",2025-09-10 10:00:00,2.4
"101",2025-09-10 10:15:00,2.4
"102",2025-09-10 10:30:00,2.4
"103",2025-09-10 10:45:00,2.2
"104",2025-09-10 11:00:00,2.2
"105",2025-09-10 11:15:00,2
"106",2025-09-10 11:30:00,1.8
"107",2025-09-10 11:45:00,1.8
"108",2025-09-10 12:00:00,1.6
"109",2025-09-10 12:15:00,1.8
"110",2025-09-10 12:30:00,1.7
"111",2025-09-10 12:45:00,1.8
"112",2025-09-10 13:00:00,1.7
"113",2025-09-10 13:15:00,1.9
"114",2025-09-10 13:30:00,1.9
"115",2025-09-10 13:45:00,2.2
"116",2025-09-10 14:00:00,2.3
"117",2025-09-10 14:15:00,2.4
"118",2025-09-10 14:30:00,2.5
"119",2025-09-10 14:45:00,2.6
"120",2025-09-10 15:00:00,2.7
"121",2025-09-10 15:15:00,2.9
"122",2025-09-10 15:30:00,2.9
"123",2025-09-10 15:45:00,2.9
"124",2025-09-10 16:00:00,3
"125",2025-09-10 16:15:00,3.1
"126",2025-09-10 16:30:00,3.1
"127",2025-09-10 16:45:00,3.1
"128",2025-09-10 17:00:00,3
"129",2025-09-10 17:15:00,3
"130",2025-09-10 17:30:00,3
"131",2025-09-10 17:45:00,2.8
"132",2025-09-10 18:00:00,2.8
"133",2025-09-10 18:15:00,2.6
"134",2025-09-10 18:30:00,2.4
"135",2025-09-10 18:45:00,2.6
"136",2025-09-10 19:00:00,2.6
"137",2025-09-10 19:15:00,2.8
"138",2025-09-10 19:30:00,3.4
"139",2025-09-10 19:45:00,3.6
"140",2025-09-10 20:00:00,3.6
"141",2025-09-10 20:15:00,3.6
"142",2025-09-10 20:30:00,3.5
"143",2025-09-10 20:45:00,3.6
"144",2025-09-10 21:00:00,3.6
"145",2025-09-10 21:15:00,3.7
"146",2025-09-10 21:30:00,3.8
"147",2025-09-10 21:45:00,4
"148",2025-09-10 22:00:00,4.1
"149",2025-09-10 22:15:00,4.2
"150",2025-09-10 22:30:00,4.3
"151",2025-09-10 22:45:00,4.2
"152",2025-09-10 23:00:00,4.2
"153",2025-09-10 23:15:00,4.2
"154",2025-09-10 23:30:00,4.3
"155",2025-09-10 23:45:00,4.2
"156",2025-09-11 00:00:00,4.1
"157",2025-09-11 00:15:00,4
"158",2025-09-11 00:30:00,3.7
"159",2025-09-11 00:45:00,3.8
"160",2025-09-11 01:00:00,3.7
"161",2025-09-11 01:15:00,3.6
"162",2025-09-11 01:30:00,3.6
"163",2025-09-11 01:45:00,3.5
"164",2025-09-11 02:00:00,3.4
"165",2025-09-11 02:15:00,3.5
"166",2025-09-11 02:30:00,3.4
"167",2025-09-11 02:45:00,3.4
"168",2025-09-11 03:00:00,3.3
"169",2025-09-11 03:15:00,3.3
"170",2025-09-11 03:30:00,3.4
"171",2025-09-11 03:45:00,3.3
"172",2025-09-11 04:00:00,3.4
"173",2025-09-11 04:15:00,3.3
"174",2025-09-11 04:30:00,3.4
"175",2025-09-11 04:45:00,3.2
"176",2025-09-11 05:00:00,3.2
"177",2025-09-11 05:15:00,3.1
"178",2025-09-11 05:30:00,3
"179",2025-09-11 05:45:00,3
"180",2025-09-11 06:00:00,3.1
"181",2025-09-11 06:15:00,3
"182",2025-09-11 06:30:00,2.7
"183",2025-09-11 06:45:00,2.9
"184",2025-09-11 07:00:00,2.8
"185",2025-09-11 07:15:00,2.4
"186",2025-09-11 07:30:00,2.4
"187",2025-09-11 07:45:00,2.3
"188",2025-09-11 08:00:00,2.2
"189",2025-09-11 08:15:00,2
"190",2025-09-11 08:30:00,2
"191",2025-09-11 08:45:00,1.7
"192",2025-09-11 09:00:00,1.7
"193",2025-09-11 09:15:00,1.4
"194",2025-09-11 09:30:00,1.4
"195",2025-09-11 09:45:00,2
