"","t","do"
"1",2023-07-01 23:15:00,5
"2",2023-07-01 23:30:00,4.9
"3",2023-07-01 23:45:00,4.6
"4",2023-07-02 00:00:00,4.6
"5",2023-07-02 00:15:00,4.8
"6",2023-07-02 00:30:00,5.4
"7",2023-07-02 00:45:00,5.3
"8",2023-07-02 01:00:00,5.8
"9",2023-07-02 01:15:00,6.4
"10",2023-07-02 01:30:00,6.8
"11",2023-07-02 01:45:00,6.7
"12",2023-07-02 02:00:00,6.9
"13",2023-07-02 02:15:00,6.5
"14",2023-07-02 02:30:00,6.6
"15",2023-07-02 02:45:00,6.5
"16",2023-07-02 03:00:00,6.2
"17",2023-07-02 03:15:00,5.9
"18",2023-07-02 03:30:00,5.7
"19",2023-07-02 03:45:00,5.5
"20",2023-07-02 04:00:00,5.4
"21",2023-07-02 04:15:00,5.1
"22",2023-07-02 04:30:00,5
"23",2023-07-02 04:45:00,5
"24",2023-07-02 05:00:00,5
"25",2023-07-02 05:15:00,5
"26",2023-07-02 05:30:00,5
"27",2023-07-02 05:45:00,4.9
"28",2023-07-02 06:00:00,4.8
"29",2023-07-02 06:15:00,4.7
"30",2023-07-02 06:30:00,4.5
"31",2023-07-02 06:45:00,4.8
"32",2023-07-02 07:00:00,4.9
"33",2023-07-02 07:15:00,4.9
"34",2023-07-02 07:30:00,4.8
"35",2023-07-02 07:45:00,4.7
"36",2023-07-02 08:00:00,4.7
"37",2023-07-02 08:15:00,4.6
"38",2023-07-02 08:30:00,4.8
"39",2023-07-02 08:45:00,4.8
"40",2023-07-02 09:00:00,4.7
"41",2023-07-02 09:15:00,4.8
"42",2023-07-02 09:30:00,4.6
"43",2023-07-02 09:45:00,5
"44",2023-07-02 10:00:00,5.1
"45",2023-07-02 10:15:00,5.2
"46",2023-07-02 10:30:00,5.4
"47",2023-07-02 10:45:00,5.6
"48",2023-07-02 11:00:00,5.6
"49",2023-07-02 11:15:00,5.5
"50",2023-07-02 11:30:00,5.9
"51",2023-07-02 11:45:00,5.6
"52",2023-07-02 12:00:00,6.1
"53",2023-07-02 12:15:00,6
"54",2023-07-02 12:30:00,6.4
"55",2023-07-02 12:45:00,6.5
"56",2023-07-02 13:00:00,6.4
"57",2023-07-02 13:15:00,6.2
"58",2023-07-02 13:30:00,6.5
"59",2023-07-02 13:45:00,6.4
"60",2023-07-02 14:00:00,6
"61",2023-07-02 14:15:00,6.1
"62",2023-07-02 14:30:00,6.4
"63",2023-07-02 14:45:00,6.5
"64",2023-07-02 15:00:00,6.4
"65",2023-07-02 15:15:00,6.2
"66",2023-07-02 15:30:00,6
"67",2023-07-02 15:45:00,5.6
"68",2023-07-02 16:00:00,5.5
"69",2023-07-02 16:15:00,4.9
"70",2023-07-02 16:30:00,4.8
"71",2023-07-02 16:45:00,4.9
"72",2023-07-02 17:00:00,4.9
"73",2023-07-02 17:15:00,4.6
"74",2023-07-02 17:30:00,4.7
"75",2023-07-02 17:45:00,4.7
"76",2023-07-02 18:00:00,4.8
"77",2023-07-02 18:15:00,5
"78",2023-07-02 18:30:00,6.8
"79",2023-07-02 18:45:00,6.8
"80",2023-07-02 19:00:00,6.2
"81",2023-07-02 19:15:00,7.5
"82",2023-07-02 19:30:00,7.4
"83",2023-07-02 19:45:00,7.4
"84",2023-07-02 20:00:00,7.1
"85",2023-07-02 20:15:00,7.3
"86",2023-07-02 20:30:00,7.3
"87",2023-07-02 20:45:00,7
"88",2023-07-02 21:00:00,7.2
"89",2023-07-02 21:15:00,7.5
"90",2023-07-02 21:30:00,7.4
"91",2023-07-02 21:45:00,7.3
"92",2023-07-02 22:00:00,7.1
"93",2023-07-02 22:15:00,6.8
"94",2023-07-02 22:30:00,6.6
"95",2023-07-02 22:45:00,6.5
"96",2023-07-02 23:00:00,6.4
"97",2023-07-02 23:15:00,6.2
"98",2023-07-02 23:30:00,6.2
"99",2023-07-02 23:45:00,6.1
"100",2023-07-03 00:00:00,5.8
"101",2023-07-03 00:15:00,5.8
"102",2023-07-03 00:30:00,5.4
"103",2023-07-03 00:45:00,5.8
"104",2023-07-03 01:00:00,5.6
"105",2023-07-03 01:15:00,6.1
"106",2023-07-03 01:30:00,6.1
"107",2023-07-03 01:45:00,6
"108",2023-07-03 02:00:00,6.2
"109",2023-07-03 02:15:00,6.2
"110",2023-07-03 02:30:00,6.1
"111",2023-07-03 02:45:00,6.1
"112",2023-07-03 03:00:00,6
"113",2023-07-03 03:15:00,5.9
"114",2023-07-03 03:30:00,5.7
"115",2023-07-03 03:45:00,5.6
"116",2023-07-03 04:00:00,5.4
"117",2023-07-03 04:15:00,5.2
"118",2023-07-03 04:30:00,5.1
"119",2023-07-03 04:45:00,5
"120",2023-07-03 05:00:00,4.9
"121",2023-07-03 05:15:00,4.9
"122",2023-07-03 05:30:00,4.9
"123",2023-07-03 05:45:00,4.9
"124",2023-07-03 06:00:00,5
"125",2023-07-03 06:15:00,5
"126",2023-07-03 06:30:00,5
"127",2023-07-03 06:45:00,5
"128",2023-07-03 07:00:00,4.8
"129",2023-07-03 07:15:00,4.8
"130",2023-07-03 07:30:00,4.5
"131",2023-07-03 07:45:00,4.7
"132",2023-07-03 08:00:00,5
"133",2023-07-03 08:15:00,5.1
"134",2023-07-03 08:30:00,4.9
"135",2023-07-03 08:45:00,4.9
"136",2023-07-03 09:00:00,5
"137",2023-07-03 09:15:00,5
"138",2023-07-03 09:30:00,4.9
"139",2023-07-03 09:45:00,4.9
"140",2023-07-03 10:00:00,5
"141",2023-07-03 10:15:00,4.9
"142",2023-07-03 10:30:00,4.9
"143",2023-07-03 10:45:00,4.9
"144",2023-07-03 11:00:00,5
"145",2023-07-03 11:15:00,4.9
"146",2023-07-03 11:30:00,5.1
"147",2023-07-03 11:45:00,5
"148",2023-07-03 12:00:00,5.2
"149",2023-07-03 12:15:00,5.1
"150",2023-07-03 12:30:00,5.1
"151",2023-07-03 12:45:00,5.1
"152",2023-07-03 13:00:00,5.2
"153",2023-07-03 13:15:00,4.7
"154",2023-07-03 13:30:00,5.1
"155",2023-07-03 13:45:00,5.2
"156",2023-07-03 14:00:00,5.3
"157",2023-07-03 14:15:00,5.6
"158",2023-07-03 14:30:00,5.6
"159",2023-07-03 14:45:00,5.5
"160",2023-07-03 15:00:00,5.6
"161",2023-07-03 15:15:00,5.7
"162",2023-07-03 15:30:00,5.7
"163",2023-07-03 15:45:00,5.8
"164",2023-07-03 16:00:00,5.8
"165",2023-07-03 16:15:00,5.7
"166",2023-07-03 16:30:00,5.7
"167",2023-07-03 16:45:00,5.1
"168",2023-07-03 17:00:00,5.5
"169",2023-07-03 17:15:00,5.3
"170",2023-07-03 17:30:00,5
"171",2023-07-03 17:45:00,5.2
"172",2023-07-03 18:00:00,5.5
"173",2023-07-03 18:15:00,5.5
"174",2023-07-03 18:30:00,5.7
"175",2023-07-03 18:45:00,5.9
"176",2023-07-03 19:00:00,5.9
"177",2023-07-03 19:15:00,5.7
"178",2023-07-03 19:30:00,5.7
"179",2023-07-03 19:45:00,5.8
"180",2023-07-03 20:00:00,5.8
"181",2023-07-03 20:15:00,5.9
"182",2023-07-03 20:30:00,5.8
"183",2023-07-03 20:45:00,5.7
"184",2023-07-03 21:00:00,5.6
"185",2023-07-03 21:15:00,5.6
"186",2023-07-03 21:30:00,5.3
"187",2023-07-03 21:45:00,5.5
"188",2023-07-03 22:00:00,5.6
"189",2023-07-03 22:15:00,5.7
"190",2023-07-03 22:30:00,5.6
"191",2023-07-03 22:45:00,5.6
"192",2023-07-03 23:00:00,5.6
"193",2023-07-03 23:15:00,5.5
"194",2023-07-03 23:30:00,5.5
"195",2023-07-03 23:45:00,5.4
"196",2023-07-04 00:00:00,5.4
"197",2023-07-04 00:15:00,5.4
"198",2023-07-04 00:30:00,5.4
"199",2023-07-04 00:45:00,5.3
"200",2023-07-04 01:00:00,5.3
"201",2023-07-04 01:15:00,NA
"202",2023-07-04 01:30:00,NA
"203",2023-07-04 01:45:00,NA
"204",2023-07-04 02:00:00,5.2
"205",2023-07-04 02:15:00,NA
"206",2023-07-04 02:30:00,NA
"207",2023-07-04 02:45:00,5.2
"208",2023-07-04 03:00:00,NA
"209",2023-07-04 03:15:00,NA
"210",2023-07-04 03:30:00,NA
"211",2023-07-04 03:45:00,5.4
"212",2023-07-04 04:00:00,NA
"213",2023-07-04 04:15:00,NA
"214",2023-07-04 04:30:00,NA
"215",2023-07-04 04:45:00,NA
"216",2023-07-04 05:00:00,5.5
"217",2023-07-04 05:15:00,NA
"218",2023-07-04 05:30:00,5.3
"219",2023-07-04 05:45:00,5.3
"220",2023-07-04 06:00:00,5.3
"221",2023-07-04 06:15:00,5.3
"222",2023-07-04 06:30:00,5.3
"223",2023-07-04 06:45:00,5.4
"224",2023-07-04 07:00:00,5.4
"225",2023-07-04 07:15:00,5.4
"226",2023-07-04 07:30:00,5.4
"227",2023-07-04 07:45:00,5.3
"228",2023-07-04 08:00:00,5.2
"229",2023-07-04 08:15:00,5.1
"230",2023-07-04 08:30:00,5.3
"231",2023-07-04 08:45:00,5.2
"232",2023-07-04 09:00:00,5.2
"233",2023-07-04 09:15:00,5.4
"234",2023-07-04 09:30:00,5.3
"235",2023-07-04 09:45:00,5.3
"236",2023-07-04 10:00:00,5.4
"237",2023-07-04 10:15:00,5.4
"238",2023-07-04 10:30:00,5.4
"239",2023-07-04 10:45:00,5.4
"240",2023-07-04 11:00:00,5.4
"241",2023-07-04 11:15:00,5.4
"242",2023-07-04 11:30:00,5.4
"243",2023-07-04 11:45:00,5.3
"244",2023-07-04 12:00:00,5.3
"245",2023-07-04 12:15:00,5.4
"246",2023-07-04 12:30:00,5.3
"247",2023-07-04 12:45:00,5.4
"248",2023-07-04 13:00:00,5.5
"249",2023-07-04 13:15:00,5.4
"250",2023-07-04 13:30:00,5.3
"251",2023-07-04 13:45:00,5.2
"252",2023-07-04 14:00:00,5.3
"253",2023-07-04 14:15:00,5.4
"254",2023-07-04 14:30:00,5.4
"255",2023-07-04 14:45:00,5.5
"256",2023-07-04 15:00:00,5.5
"257",2023-07-04 15:15:00,5.5
"258",2023-07-04 15:30:00,5.4
"259",2023-07-04 15:45:00,5.5
