"","t","do"
"1",2024-06-25 23:15:00,5.1
"2",2024-06-25 23:30:00,5
"3",2024-06-25 23:45:00,4.9
"4",2024-06-26 00:00:00,4.8
"5",2024-06-26 00:15:00,4.8
"6",2024-06-26 00:30:00,4.9
"7",2024-06-26 00:45:00,5
"8",2024-06-26 01:00:00,4.9
"9",2024-06-26 01:15:00,4.8
"10",2024-06-26 01:30:00,4.7
"11",2024-06-26 01:45:00,4.8
"12",2024-06-26 02:00:00,4.7
"13",2024-06-26 02:15:00,4.7
"14",2024-06-26 02:30:00,4.6
"15",2024-06-26 02:45:00,4.7
"16",2024-06-26 03:00:00,4.6
"17",2024-06-26 03:15:00,4.7
"18",2024-06-26 03:30:00,4.7
"19",2024-06-26 03:45:00,4.6
"20",2024-06-26 04:00:00,4.5
"21",2024-06-26 04:15:00,4.6
"22",2024-06-26 04:30:00,4.5
"23",2024-06-26 04:45:00,4.4
"24",2024-06-26 05:00:00,4.4
"25",2024-06-26 05:15:00,4.3
"26",2024-06-26 05:30:00,4.3
"27",2024-06-26 05:45:00,4.5
"28",2024-06-26 06:00:00,4.7
"29",2024-06-26 06:15:00,4.8
"30",2024-06-26 06:30:00,4.9
"31",2024-06-26 06:45:00,5
"32",2024-06-26 07:00:00,5
"33",2024-06-26 07:15:00,5.1
"34",2024-06-26 07:30:00,5.3
"35",2024-06-26 07:45:00,5.3
"36",2024-06-26 08:00:00,5.3
"37",2024-06-26 08:15:00,5.3
"38",2024-06-26 08:30:00,5.3
"39",2024-06-26 08:45:00,5.3
"40",2024-06-26 09:00:00,5.2
"41",2024-06-26 09:15:00,5.1
"42",2024-06-26 09:30:00,5
"43",2024-06-26 09:45:00,5
"44",2024-06-26 10:00:00,5
"45",2024-06-26 10:15:00,4.9
"46",2024-06-26 10:30:00,4.8
"47",2024-06-26 10:45:00,4.8
"48",2024-06-26 11:00:00,4.7
"49",2024-06-26 11:15:00,4.9
"50",2024-06-26 11:30:00,5
"51",2024-06-26 11:45:00,5.1
"52",2024-06-26 12:00:00,5.1
"53",2024-06-26 12:15:00,5
"54",2024-06-26 12:30:00,5.2
"55",2024-06-26 12:45:00,NA
"56",2024-06-26 13:00:00,NA
"57",2024-06-26 13:15:00,NA
"58",2024-06-26 13:30:00,NA
"59",2024-06-26 13:45:00,NA
"60",2024-06-26 14:00:00,NA
"61",2024-06-26 14:15:00,NA
"62",2024-06-26 14:30:00,NA
