"","t","do"
"1",2025-03-18 09:15:00,10.2
"2",2025-03-18 09:30:00,10.2
"3",2025-03-18 09:45:00,10.2
"4",2025-03-18 10:00:00,10.2
"5",2025-03-18 10:15:00,10.2
"6",2025-03-18 10:30:00,10.2
"7",2025-03-18 10:45:00,10.2
"8",2025-03-18 11:00:00,10.2
"9",2025-03-18 11:15:00,10.2
"10",2025-03-18 11:30:00,10.2
"11",2025-03-18 11:45:00,10.2
"12",2025-03-18 12:00:00,10.2
"13",2025-03-18 12:15:00,10.2
"14",2025-03-18 12:30:00,10.2
"15",2025-03-18 12:45:00,10.2
"16",2025-03-18 13:00:00,10.2
"17",2025-03-18 13:15:00,10.2
"18",2025-03-18 13:30:00,10.2
"19",2025-03-18 13:45:00,10.2
"20",2025-03-18 14:00:00,10.2
"21",2025-03-18 14:15:00,10.2
"22",2025-03-18 14:30:00,10.2
"23",2025-03-18 14:45:00,10.2
"24",2025-03-18 15:00:00,10.2
"25",2025-03-18 15:15:00,10.2
"26",2025-03-18 15:30:00,10.2
"27",2025-03-18 15:45:00,10.2
"28",2025-03-18 16:00:00,10.2
"29",2025-03-18 16:15:00,10.2
"30",2025-03-18 16:30:00,10.3
"31",2025-03-18 16:45:00,10.3
"32",2025-03-18 17:00:00,10.3
"33",2025-03-18 17:15:00,10.3
"34",2025-03-18 17:30:00,10.3
"35",2025-03-18 17:45:00,10.3
"36",2025-03-18 18:00:00,10.4
"37",2025-03-18 18:15:00,10.4
"38",2025-03-18 18:30:00,10.4
"39",2025-03-18 18:45:00,10.4
"40",2025-03-18 19:00:00,10.4
"41",2025-03-18 19:15:00,10.4
"42",2025-03-18 19:30:00,10.4
"43",2025-03-18 19:45:00,10.5
"44",2025-03-18 20:00:00,10.5
"45",2025-03-18 20:15:00,10.5
"46",2025-03-18 20:30:00,10.5
"47",2025-03-18 20:45:00,10.5
"48",2025-03-18 21:00:00,10.5
"49",2025-03-18 21:15:00,10.5
"50",2025-03-18 21:30:00,10.5
"51",2025-03-18 21:45:00,10.5
"52",2025-03-18 22:00:00,10.5
"53",2025-03-18 22:15:00,10.5
"54",2025-03-18 22:30:00,10.5
"55",2025-03-18 22:45:00,10.5
"56",2025-03-18 23:00:00,10.5
"57",2025-03-18 23:15:00,10.5
"58",2025-03-18 23:30:00,10.5
"59",2025-03-18 23:45:00,10.5
"60",2025-03-19 00:00:00,10.5
"61",2025-03-19 00:15:00,10.5
"62",2025-03-19 00:30:00,10.5
"63",2025-03-19 00:45:00,10.5
"64",2025-03-19 01:00:00,10.5
"65",2025-03-19 01:15:00,10.5
"66",2025-03-19 01:30:00,10.5
"67",2025-03-19 01:45:00,10.5
"68",2025-03-19 02:00:00,10.5
"69",2025-03-19 02:15:00,10.5
"70",2025-03-19 02:30:00,10.5
